Leading Cancer Sites,Leading Cancer Sites Code,Year,Sex,Sex Code,Race,Race Code,Count
Lung and Bronchus,22030,1999,Female,F,Asian or Pacific Islander,A-PI,25.0
Lung and Bronchus,22030,1999,Female,F,Black or African American,2054-5,129.0
Lung and Bronchus,22030,1999,Female,F,White,2106-3,673.0
Lung and Bronchus,22030,1999,Male,M,Asian or Pacific Islander,A-PI,32.0
Lung and Bronchus,22030,1999,Male,M,Black or African American,2054-5,150.0
Lung and Bronchus,22030,1999,Male,M,White,2106-3,614.0
Lung and Bronchus,22030,2000,Female,F,Asian or Pacific Islander,A-PI,29.0
Lung and Bronchus,22030,2000,Female,F,Black or African American,2054-5,130.0
Lung and Bronchus,22030,2000,Female,F,White,2106-3,663.0
Lung and Bronchus,22030,2000,Male,M,Asian or Pacific Islander,A-PI,31.0
Lung and Bronchus,22030,2000,Male,M,Black or African American,2054-5,123.0
Lung and Bronchus,22030,2000,Male,M,White,2106-3,602.0
Lung and Bronchus,22030,2001,Female,F,Asian or Pacific Islander,A-PI,28.0
Lung and Bronchus,22030,2001,Female,F,Black or African American,2054-5,102.0
Lung and Bronchus,22030,2001,Female,F,White,2106-3,654.0
Lung and Bronchus,22030,2001,Male,M,Asian or Pacific Islander,A-PI,37.0
Lung and Bronchus,22030,2001,Male,M,Black or African American,2054-5,111.0
Lung and Bronchus,22030,2001,Male,M,White,2106-3,604.0
Lung and Bronchus,22030,2002,Female,F,Asian or Pacific Islander,A-PI,44.0
Lung and Bronchus,22030,2002,Female,F,Black or African American,2054-5,77.0
Lung and Bronchus,22030,2002,Female,F,White,2106-3,568.0
Lung and Bronchus,22030,2002,Male,M,Asian or Pacific Islander,A-PI,23.0
Lung and Bronchus,22030,2002,Male,M,Black or African American,2054-5,103.0
Lung and Bronchus,22030,2002,Male,M,White,2106-3,547.0
Lung and Bronchus,22030,2003,Female,F,Asian or Pacific Islander,A-PI,26.0
Lung and Bronchus,22030,2003,Female,F,Black or African American,2054-5,109.0
Lung and Bronchus,22030,2003,Female,F,White,2106-3,566.0
Lung and Bronchus,22030,2003,Male,M,Asian or Pacific Islander,A-PI,33.0
Lung and Bronchus,22030,2003,Male,M,Black or African American,2054-5,88.0
Lung and Bronchus,22030,2003,Male,M,White,2106-3,528.0
Lung and Bronchus,22030,2004,Female,F,Asian or Pacific Islander,A-PI,25.0
Lung and Bronchus,22030,2004,Female,F,Black or African American,2054-5,108.0
Lung and Bronchus,22030,2004,Female,F,White,2106-3,519.0
Lung and Bronchus,22030,2004,Male,M,Asian or Pacific Islander,A-PI,27.0
Lung and Bronchus,22030,2004,Male,M,Black or African American,2054-5,103.0
Lung and Bronchus,22030,2004,Male,M,White,2106-3,508.0
Lung and Bronchus,22030,2005,Female,F,Asian or Pacific Islander,A-PI,30.0
Lung and Bronchus,22030,2005,Female,F,Black or African American,2054-5,104.0
Lung and Bronchus,22030,2005,Female,F,White,2106-3,534.0
Lung and Bronchus,22030,2005,Male,M,Asian or Pacific Islander,A-PI,29.0
Lung and Bronchus,22030,2005,Male,M,Black or African American,2054-5,61.0
Lung and Bronchus,22030,2005,Male,M,White,2106-3,439.0
Lung and Bronchus,22030,2006,Female,F,Asian or Pacific Islander,A-PI,37.0
Lung and Bronchus,22030,2006,Female,F,Black or African American,2054-5,76.0
Lung and Bronchus,22030,2006,Female,F,White,2106-3,523.0
Lung and Bronchus,22030,2006,Male,M,Asian or Pacific Islander,A-PI,32.0
Lung and Bronchus,22030,2006,Male,M,Black or African American,2054-5,99.0
Lung and Bronchus,22030,2006,Male,M,White,2106-3,476.0
Lung and Bronchus,22030,2007,Female,F,Asian or Pacific Islander,A-PI,36.0
Lung and Bronchus,22030,2007,Female,F,Black or African American,2054-5,87.0
Lung and Bronchus,22030,2007,Female,F,White,2106-3,452.0
Lung and Bronchus,22030,2007,Male,M,Asian or Pacific Islander,A-PI,39.0
Lung and Bronchus,22030,2007,Male,M,Black or African American,2054-5,78.0
Lung and Bronchus,22030,2007,Male,M,White,2106-3,425.0
Lung and Bronchus,22030,2008,Female,F,Asian or Pacific Islander,A-PI,39.0
Lung and Bronchus,22030,2008,Female,F,Black or African American,2054-5,82.0
Lung and Bronchus,22030,2008,Female,F,White,2106-3,478.0
Lung and Bronchus,22030,2008,Male,M,Asian or Pacific Islander,A-PI,35.0
Lung and Bronchus,22030,2008,Male,M,Black or African American,2054-5,78.0
Lung and Bronchus,22030,2008,Male,M,White,2106-3,458.0
Lung and Bronchus,22030,2009,Female,F,Asian or Pacific Islander,A-PI,44.0
Lung and Bronchus,22030,2009,Female,F,Black or African American,2054-5,91.0
Lung and Bronchus,22030,2009,Female,F,White,2106-3,479.0
Lung and Bronchus,22030,2009,Male,M,Asian or Pacific Islander,A-PI,44.0
Lung and Bronchus,22030,2009,Male,M,Black or African American,2054-5,71.0
Lung and Bronchus,22030,2009,Male,M,White,2106-3,411.0
Lung and Bronchus,22030,2010,Female,F,Asian or Pacific Islander,A-PI,29.0
Lung and Bronchus,22030,2010,Female,F,Black or African American,2054-5,53.0
Lung and Bronchus,22030,2010,Female,F,White,2106-3,464.0
Lung and Bronchus,22030,2010,Male,M,Asian or Pacific Islander,A-PI,29.0
Lung and Bronchus,22030,2010,Male,M,Black or African American,2054-5,74.0
Lung and Bronchus,22030,2010,Male,M,White,2106-3,414.0
Lung and Bronchus,22030,2011,Female,F,Asian or Pacific Islander,A-PI,44.0
Lung and Bronchus,22030,2011,Female,F,Black or African American,2054-5,75.0
Lung and Bronchus,22030,2011,Female,F,White,2106-3,441.0
Lung and Bronchus,22030,2011,Male,M,Asian or Pacific Islander,A-PI,36.0
Lung and Bronchus,22030,2011,Male,M,Black or African American,2054-5,62.0
Lung and Bronchus,22030,2011,Male,M,White,2106-3,409.0
Lung and Bronchus,22030,2012,Female,F,Asian or Pacific Islander,A-PI,39.0
Lung and Bronchus,22030,2012,Female,F,Black or African American,2054-5,63.0
Lung and Bronchus,22030,2012,Female,F,White,2106-3,404.0
Lung and Bronchus,22030,2012,Male,M,Asian or Pacific Islander,A-PI,32.0
Lung and Bronchus,22030,2012,Male,M,Black or African American,2054-5,98.0
Lung and Bronchus,22030,2012,Male,M,White,2106-3,341.0
Lung and Bronchus,22030,2013,Female,F,Asian or Pacific Islander,A-PI,55.0
Lung and Bronchus,22030,2013,Female,F,Black or African American,2054-5,80.0
Lung and Bronchus,22030,2013,Female,F,White,2106-3,401.0
Lung and Bronchus,22030,2013,Male,M,Asian or Pacific Islander,A-PI,29.0
Lung and Bronchus,22030,2013,Male,M,Black or African American,2054-5,86.0
Lung and Bronchus,22030,2013,Male,M,White,2106-3,369.0
Lung and Bronchus,22030,2014,Female,F,Asian or Pacific Islander,A-PI,41.0
Lung and Bronchus,22030,2014,Female,F,Black or African American,2054-5,73.0
Lung and Bronchus,22030,2014,Female,F,White,2106-3,374.0
Lung and Bronchus,22030,2014,Male,M,Asian or Pacific Islander,A-PI,29.0
Lung and Bronchus,22030,2014,Male,M,Black or African American,2054-5,85.0
Lung and Bronchus,22030,2014,Male,M,White,2106-3,352.0
Lung and Bronchus,22030,2015,Female,F,Asian or Pacific Islander,A-PI,48.0
Lung and Bronchus,22030,2015,Female,F,Black or African American,2054-5,64.0
Lung and Bronchus,22030,2015,Female,F,White,2106-3,388.0
Lung and Bronchus,22030,2015,Male,M,Asian or Pacific Islander,A-PI,28.0
Lung and Bronchus,22030,2015,Male,M,Black or African American,2054-5,103.0
Lung and Bronchus,22030,2015,Male,M,White,2106-3,351.0
Lung and Bronchus,22030,2016,Female,F,Asian or Pacific Islander,A-PI,47.0
Lung and Bronchus,22030,2016,Female,F,Black or African American,2054-5,73.0
Lung and Bronchus,22030,2016,Female,F,White,2106-3,397.0
Lung and Bronchus,22030,2016,Male,M,Asian or Pacific Islander,A-PI,38.0
Lung and Bronchus,22030,2016,Male,M,Black or African American,2054-5,114.0
Lung and Bronchus,22030,2016,Male,M,White,2106-3,344.0
Lung and Bronchus,22030,2017,Female,F,Asian or Pacific Islander,A-PI,62.0
Lung and Bronchus,22030,2017,Female,F,Black or African American,2054-5,75.0
Lung and Bronchus,22030,2017,Female,F,White,2106-3,411.0
Lung and Bronchus,22030,2017,Male,M,Asian or Pacific Islander,A-PI,44.0
Lung and Bronchus,22030,2017,Male,M,Black or African American,2054-5,97.0
Lung and Bronchus,22030,2017,Male,M,White,2106-3,340.0
Lung and Bronchus,22030,2018,Female,F,Asian or Pacific Islander,A-PI,59.0
Lung and Bronchus,22030,2018,Female,F,Black or African American,2054-5,105.0
Lung and Bronchus,22030,2018,Female,F,White,2106-3,371.0
Lung and Bronchus,22030,2018,Male,M,Asian or Pacific Islander,A-PI,33.0
Lung and Bronchus,22030,2018,Male,M,Black or African American,2054-5,84.0
Lung and Bronchus,22030,2018,Male,M,White,2106-3,362.0
Lung and Bronchus,22030,2019,Female,F,Asian or Pacific Islander,A-PI,43.0
Lung and Bronchus,22030,2019,Female,F,Black or African American,2054-5,93.0
Lung and Bronchus,22030,2019,Female,F,White,2106-3,388.0
Lung and Bronchus,22030,2019,Male,M,Asian or Pacific Islander,A-PI,43.0
Lung and Bronchus,22030,2019,Male,M,Black or African American,2054-5,101.0
Lung and Bronchus,22030,2019,Male,M,White,2106-3,367.0
Lung and Bronchus,22030,2020,Female,F,Asian or Pacific Islander,A-PI,35.0
Lung and Bronchus,22030,2020,Female,F,Black or African American,2054-5,83.0
Lung and Bronchus,22030,2020,Female,F,White,2106-3,327.0
Lung and Bronchus,22030,2020,Male,M,Asian or Pacific Islander,A-PI,37.0
Lung and Bronchus,22030,2020,Male,M,Black or African American,2054-5,90.0
Lung and Bronchus,22030,2020,Male,M,White,2106-3,345.0
Lung and Bronchus,22030,2021,Female,F,Asian or Pacific Islander,A-PI,36.0
Lung and Bronchus,22030,2021,Female,F,Black or African American,2054-5,62.0
Lung and Bronchus,22030,2021,Female,F,White,2106-3,361.0
Lung and Bronchus,22030,2021,Female,F,Other Races and Unknown combined,2131-1,17.0
Lung and Bronchus,22030,2021,Male,M,Asian or Pacific Islander,A-PI,42.0
Lung and Bronchus,22030,2021,Male,M,Black or African American,2054-5,96.0
Lung and Bronchus,22030,2021,Male,M,White,2106-3,279.0
Melanoma of the Skin,25010,1999,Female,F,Asian or Pacific Islander,A-PI,16.0
Melanoma of the Skin,25010,1999,Female,F,Black or African American,2054-5,17.0
Melanoma of the Skin,25010,1999,Female,F,White,2106-3,3527.0
Melanoma of the Skin,25010,1999,Female,F,Other Races and Unknown combined,2131-1,125.0
Melanoma of the Skin,25010,1999,Male,M,Black or African American,2054-5,17.0
Melanoma of the Skin,25010,1999,Male,M,White,2106-3,2322.0
Melanoma of the Skin,25010,1999,Male,M,Other Races and Unknown combined,2131-1,76.0
Melanoma of the Skin,25010,2000,Female,F,Black or African American,2054-5,20.0
Melanoma of the Skin,25010,2000,Female,F,White,2106-3,3750.0
Melanoma of the Skin,25010,2000,Female,F,Other Races and Unknown combined,2131-1,128.0
Melanoma of the Skin,25010,2000,Male,M,Black or African American,2054-5,18.0
Melanoma of the Skin,25010,2000,Male,M,White,2106-3,2492.0
Melanoma of the Skin,25010,2000,Male,M,Other Races and Unknown combined,2131-1,83.0
Melanoma of the Skin,25010,2001,Female,F,American Indian or Alaska Native,1002-5,17.0
Melanoma of the Skin,25010,2001,Female,F,Asian or Pacific Islander,A-PI,20.0
Melanoma of the Skin,25010,2001,Female,F,Black or African American,2054-5,25.0
Melanoma of the Skin,25010,2001,Female,F,White,2106-3,3994.0
Melanoma of the Skin,25010,2001,Female,F,Other Races and Unknown combined,2131-1,199.0
Melanoma of the Skin,25010,2001,Male,M,Black or African American,2054-5,16.0
Melanoma of the Skin,25010,2001,Male,M,White,2106-3,2544.0
Melanoma of the Skin,25010,2001,Male,M,Other Races and Unknown combined,2131-1,131.0
Melanoma of the Skin,25010,2002,Female,F,Asian or Pacific Islander,A-PI,26.0
Melanoma of the Skin,25010,2002,Female,F,Black or African American,2054-5,18.0
Melanoma of the Skin,25010,2002,Female,F,White,2106-3,4076.0
Melanoma of the Skin,25010,2002,Female,F,Other Races and Unknown combined,2131-1,228.0
Melanoma of the Skin,25010,2002,Male,M,Asian or Pacific Islander,A-PI,16.0
Melanoma of the Skin,25010,2002,Male,M,White,2106-3,2608.0
Melanoma of the Skin,25010,2002,Male,M,Other Races and Unknown combined,2131-1,132.0
Melanoma of the Skin,25010,2003,Female,F,Asian or Pacific Islander,A-PI,21.0
Melanoma of the Skin,25010,2003,Female,F,Black or African American,2054-5,23.0
Melanoma of the Skin,25010,2003,Female,F,White,2106-3,3869.0
Melanoma of the Skin,25010,2003,Female,F,Other Races and Unknown combined,2131-1,200.0
Melanoma of the Skin,25010,2003,Male,M,White,2106-3,2343.0
Melanoma of the Skin,25010,2003,Male,M,Other Races and Unknown combined,2131-1,119.0
Melanoma of the Skin,25010,2004,Female,F,Asian or Pacific Islander,A-PI,23.0
Melanoma of the Skin,25010,2004,Female,F,Black or African American,2054-5,24.0
Melanoma of the Skin,25010,2004,Female,F,White,2106-3,4096.0
Melanoma of the Skin,25010,2004,Female,F,Other Races and Unknown combined,2131-1,194.0
Melanoma of the Skin,25010,2004,Male,M,White,2106-3,2517.0
Melanoma of the Skin,25010,2004,Male,M,Other Races and Unknown combined,2131-1,106.0
Melanoma of the Skin,25010,2005,Female,F,Asian or Pacific Islander,A-PI,17.0
Melanoma of the Skin,25010,2005,Female,F,Black or African American,2054-5,27.0
Melanoma of the Skin,25010,2005,Female,F,White,2106-3,4501.0
Melanoma of the Skin,25010,2005,Female,F,Other Races and Unknown combined,2131-1,197.0
Melanoma of the Skin,25010,2005,Male,M,Black or African American,2054-5,17.0
Melanoma of the Skin,25010,2005,Male,M,White,2106-3,2570.0
Melanoma of the Skin,25010,2005,Male,M,Other Races and Unknown combined,2131-1,98.0
Melanoma of the Skin,25010,2006,Female,F,American Indian or Alaska Native,1002-5,21.0
Melanoma of the Skin,25010,2006,Female,F,Black or African American,2054-5,22.0
Melanoma of the Skin,25010,2006,Female,F,White,2106-3,4380.0
Melanoma of the Skin,25010,2006,Female,F,Other Races and Unknown combined,2131-1,191.0
Melanoma of the Skin,25010,2006,Male,M,White,2106-3,2378.0
Melanoma of the Skin,25010,2006,Male,M,Other Races and Unknown combined,2131-1,105.0
Melanoma of the Skin,25010,2007,Female,F,American Indian or Alaska Native,1002-5,21.0
Melanoma of the Skin,25010,2007,Female,F,Asian or Pacific Islander,A-PI,25.0
Melanoma of the Skin,25010,2007,Female,F,Black or African American,2054-5,23.0
Melanoma of the Skin,25010,2007,Female,F,White,2106-3,4312.0
Melanoma of the Skin,25010,2007,Female,F,Other Races and Unknown combined,2131-1,212.0
Melanoma of the Skin,25010,2007,Male,M,White,2106-3,2471.0
Melanoma of the Skin,25010,2007,Male,M,Other Races and Unknown combined,2131-1,111.0
Melanoma of the Skin,25010,2008,Female,F,Asian or Pacific Islander,A-PI,27.0
Melanoma of the Skin,25010,2008,Female,F,Black or African American,2054-5,21.0
Melanoma of the Skin,25010,2008,Female,F,White,2106-3,4163.0
Melanoma of the Skin,25010,2008,Female,F,Other Races and Unknown combined,2131-1,205.0
Melanoma of the Skin,25010,2008,Male,M,Asian or Pacific Islander,A-PI,18.0
Melanoma of the Skin,25010,2008,Male,M,White,2106-3,2303.0
Melanoma of the Skin,25010,2008,Male,M,Other Races and Unknown combined,2131-1,119.0
Melanoma of the Skin,25010,2009,Female,F,American Indian or Alaska Native,1002-5,18.0
Melanoma of the Skin,25010,2009,Female,F,Asian or Pacific Islander,A-PI,18.0
Melanoma of the Skin,25010,2009,Female,F,White,2106-3,4378.0
Melanoma of the Skin,25010,2009,Female,F,Other Races and Unknown combined,2131-1,202.0
Melanoma of the Skin,25010,2009,Male,M,White,2106-3,2322.0
Melanoma of the Skin,25010,2009,Male,M,Other Races and Unknown combined,2131-1,92.0
Melanoma of the Skin,25010,2010,Female,F,American Indian or Alaska Native,1002-5,18.0
Melanoma of the Skin,25010,2010,Female,F,Black or African American,2054-5,23.0
Melanoma of the Skin,25010,2010,Female,F,White,2106-3,4029.0
Melanoma of the Skin,25010,2010,Female,F,Other Races and Unknown combined,2131-1,171.0
Melanoma of the Skin,25010,2010,Male,M,Asian or Pacific Islander,A-PI,17.0
Melanoma of the Skin,25010,2010,Male,M,White,2106-3,2224.0
Melanoma of the Skin,25010,2010,Male,M,Other Races and Unknown combined,2131-1,106.0
Melanoma of the Skin,25010,2011,Female,F,American Indian or Alaska Native,1002-5,17.0
Melanoma of the Skin,25010,2011,Female,F,Asian or Pacific Islander,A-PI,31.0
Melanoma of the Skin,25010,2011,Female,F,Black or African American,2054-5,28.0
Melanoma of the Skin,25010,2011,Female,F,White,2106-3,3845.0
Melanoma of the Skin,25010,2011,Female,F,Other Races and Unknown combined,2131-1,217.0
Melanoma of the Skin,25010,2011,Male,M,White,2106-3,2210.0
Melanoma of the Skin,25010,2011,Male,M,Other Races and Unknown combined,2131-1,121.0
Melanoma of the Skin,25010,2012,Female,F,American Indian or Alaska Native,1002-5,20.0
Melanoma of the Skin,25010,2012,Female,F,Asian or Pacific Islander,A-PI,20.0
Melanoma of the Skin,25010,2012,Female,F,White,2106-3,3919.0
Melanoma of the Skin,25010,2012,Female,F,Other Races and Unknown combined,2131-1,196.0
Melanoma of the Skin,25010,2012,Male,M,Black or African American,2054-5,16.0
Melanoma of the Skin,25010,2012,Male,M,White,2106-3,2158.0
Melanoma of the Skin,25010,2012,Male,M,Other Races and Unknown combined,2131-1,102.0
Melanoma of the Skin,25010,2013,Female,F,Asian or Pacific Islander,A-PI,16.0
Melanoma of the Skin,25010,2013,Female,F,Black or African American,2054-5,23.0
Melanoma of the Skin,25010,2013,Female,F,White,2106-3,3910.0
Melanoma of the Skin,25010,2013,Female,F,Other Races and Unknown combined,2131-1,185.0
Melanoma of the Skin,25010,2013,Male,M,Black or African American,2054-5,18.0
Melanoma of the Skin,25010,2013,Male,M,White,2106-3,2119.0
Melanoma of the Skin,25010,2013,Male,M,Other Races and Unknown combined,2131-1,92.0
Melanoma of the Skin,25010,2014,Female,F,Asian or Pacific Islander,A-PI,24.0
Melanoma of the Skin,25010,2014,Female,F,Black or African American,2054-5,20.0
Melanoma of the Skin,25010,2014,Female,F,White,2106-3,3985.0
Melanoma of the Skin,25010,2014,Female,F,Other Races and Unknown combined,2131-1,224.0
Melanoma of the Skin,25010,2014,Male,M,White,2106-3,2206.0
Melanoma of the Skin,25010,2014,Male,M,Other Races and Unknown combined,2131-1,110.0
Melanoma of the Skin,25010,2015,Female,F,American Indian or Alaska Native,1002-5,25.0
Melanoma of the Skin,25010,2015,Female,F,Asian or Pacific Islander,A-PI,20.0
Melanoma of the Skin,25010,2015,Female,F,Black or African American,2054-5,27.0
Melanoma of the Skin,25010,2015,Female,F,White,2106-3,4197.0
Melanoma of the Skin,25010,2015,Female,F,Other Races and Unknown combined,2131-1,226.0
Melanoma of the Skin,25010,2015,Male,M,American Indian or Alaska Native,1002-5,18.0
Melanoma of the Skin,25010,2015,Male,M,White,2106-3,2218.0
Melanoma of the Skin,25010,2015,Male,M,Other Races and Unknown combined,2131-1,109.0
Melanoma of the Skin,25010,2016,Female,F,American Indian or Alaska Native,1002-5,17.0
Melanoma of the Skin,25010,2016,Female,F,Asian or Pacific Islander,A-PI,21.0
Melanoma of the Skin,25010,2016,Female,F,White,2106-3,4181.0
Melanoma of the Skin,25010,2016,Female,F,Other Races and Unknown combined,2131-1,262.0
Melanoma of the Skin,25010,2016,Male,M,White,2106-3,2266.0
Melanoma of the Skin,25010,2016,Male,M,Other Races and Unknown combined,2131-1,133.0
Melanoma of the Skin,25010,2017,Female,F,American Indian or Alaska Native,1002-5,19.0
Melanoma of the Skin,25010,2017,Female,F,Asian or Pacific Islander,A-PI,26.0
Melanoma of the Skin,25010,2017,Female,F,Black or African American,2054-5,17.0
Melanoma of the Skin,25010,2017,Female,F,White,2106-3,4114.0
Melanoma of the Skin,25010,2017,Female,F,Other Races and Unknown combined,2131-1,232.0
Melanoma of the Skin,25010,2017,Male,M,White,2106-3,2165.0
Melanoma of the Skin,25010,2017,Male,M,Other Races and Unknown combined,2131-1,135.0
Melanoma of the Skin,25010,2018,Female,F,American Indian or Alaska Native,1002-5,17.0
Melanoma of the Skin,25010,2018,Female,F,Asian or Pacific Islander,A-PI,23.0
Melanoma of the Skin,25010,2018,Female,F,Black or African American,2054-5,18.0
Melanoma of the Skin,25010,2018,Female,F,White,2106-3,3993.0
Melanoma of the Skin,25010,2018,Female,F,Other Races and Unknown combined,2131-1,263.0
Melanoma of the Skin,25010,2018,Male,M,Asian or Pacific Islander,A-PI,19.0
Melanoma of the Skin,25010,2018,Male,M,White,2106-3,2052.0
Melanoma of the Skin,25010,2018,Male,M,Other Races and Unknown combined,2131-1,142.0
Melanoma of the Skin,25010,2019,Female,F,American Indian or Alaska Native,1002-5,22.0
Melanoma of the Skin,25010,2019,Female,F,Asian or Pacific Islander,A-PI,18.0
Melanoma of the Skin,25010,2019,Female,F,White,2106-3,3958.0
Melanoma of the Skin,25010,2019,Female,F,Other Races and Unknown combined,2131-1,272.0
Melanoma of the Skin,25010,2019,Male,M,Black or African American,2054-5,16.0
Melanoma of the Skin,25010,2019,Male,M,White,2106-3,2128.0
Melanoma of the Skin,25010,2019,Male,M,Other Races and Unknown combined,2131-1,146.0
Melanoma of the Skin,25010,2020,Female,F,American Indian or Alaska Native,1002-5,22.0
Melanoma of the Skin,25010,2020,Female,F,Asian or Pacific Islander,A-PI,19.0
Melanoma of the Skin,25010,2020,Female,F,Black or African American,2054-5,18.0
Melanoma of the Skin,25010,2020,Female,F,White,2106-3,3321.0
Melanoma of the Skin,25010,2020,Female,F,Other Races and Unknown combined,2131-1,291.0
Melanoma of the Skin,25010,2020,Male,M,White,2106-3,1711.0
Melanoma of the Skin,25010,2020,Male,M,Other Races and Unknown combined,2131-1,126.0
Melanoma of the Skin,25010,2021,Female,F,Asian or Pacific Islander,A-PI,22.0
Melanoma of the Skin,25010,2021,Female,F,Black or African American,2054-5,20.0
Melanoma of the Skin,25010,2021,Female,F,White,2106-3,3710.0
Melanoma of the Skin,25010,2021,Female,F,Other Races and Unknown combined,2131-1,331.0
Melanoma of the Skin,25010,2021,Male,M,White,2106-3,1824.0
Melanoma of the Skin,25010,2021,Male,M,Other Races and Unknown combined,2131-1,154.0
Myeloma,34000,1999,Female,F,Black or African American,2054-5,30.0
Myeloma,34000,1999,Female,F,White,2106-3,54.0
Myeloma,34000,1999,Male,M,Black or African American,2054-5,27.0
Myeloma,34000,1999,Male,M,White,2106-3,108.0
Myeloma,34000,2000,Female,F,Black or African American,2054-5,36.0
Myeloma,34000,2000,Female,F,White,2106-3,57.0
Myeloma,34000,2000,Male,M,Black or African American,2054-5,36.0
Myeloma,34000,2000,Male,M,White,2106-3,116.0
Myeloma,34000,2001,Female,F,Black or African American,2054-5,31.0
Myeloma,34000,2001,Female,F,White,2106-3,74.0
Myeloma,34000,2001,Male,M,Black or African American,2054-5,45.0
Myeloma,34000,2001,Male,M,White,2106-3,115.0
Myeloma,34000,2002,Female,F,Black or African American,2054-5,26.0
Myeloma,34000,2002,Female,F,White,2106-3,61.0
Myeloma,34000,2002,Male,M,Black or African American,2054-5,41.0
Myeloma,34000,2002,Male,M,White,2106-3,111.0
Myeloma,34000,2003,Female,F,Black or African American,2054-5,43.0
Myeloma,34000,2003,Female,F,White,2106-3,55.0
Myeloma,34000,2003,Male,M,Black or African American,2054-5,30.0
Myeloma,34000,2003,Male,M,White,2106-3,102.0
Myeloma,34000,2004,Female,F,Black or African American,2054-5,34.0
Myeloma,34000,2004,Female,F,White,2106-3,59.0
Myeloma,34000,2004,Male,M,Black or African American,2054-5,40.0
Myeloma,34000,2004,Male,M,White,2106-3,102.0
Myeloma,34000,2005,Female,F,Black or African American,2054-5,38.0
Myeloma,34000,2005,Female,F,White,2106-3,55.0
Myeloma,34000,2005,Male,M,Black or African American,2054-5,48.0
Myeloma,34000,2005,Male,M,White,2106-3,116.0
Myeloma,34000,2006,Female,F,Black or African American,2054-5,40.0
Myeloma,34000,2006,Female,F,White,2106-3,57.0
Myeloma,34000,2006,Male,M,Black or African American,2054-5,46.0
Myeloma,34000,2006,Male,M,White,2106-3,103.0
Myeloma,34000,2007,Female,F,Black or African American,2054-5,42.0
Myeloma,34000,2007,Female,F,White,2106-3,52.0
Myeloma,34000,2007,Male,M,Black or African American,2054-5,38.0
Myeloma,34000,2007,Male,M,White,2106-3,113.0
Myeloma,34000,2008,Female,F,Black or African American,2054-5,34.0
Myeloma,34000,2008,Female,F,White,2106-3,81.0
Myeloma,34000,2008,Male,M,Black or African American,2054-5,27.0
Myeloma,34000,2008,Male,M,White,2106-3,104.0
Myeloma,34000,2009,Female,F,Black or African American,2054-5,29.0
Myeloma,34000,2009,Female,F,White,2106-3,58.0
Myeloma,34000,2009,Male,M,Black or African American,2054-5,27.0
Myeloma,34000,2009,Male,M,White,2106-3,116.0
Myeloma,34000,2010,Female,F,Black or African American,2054-5,43.0
Myeloma,34000,2010,Female,F,White,2106-3,70.0
Myeloma,34000,2010,Male,M,Black or African American,2054-5,42.0
Myeloma,34000,2010,Male,M,White,2106-3,128.0
Myeloma,34000,2011,Female,F,Black or African American,2054-5,42.0
Myeloma,34000,2011,Female,F,White,2106-3,74.0
Myeloma,34000,2011,Male,M,Black or African American,2054-5,64.0
Myeloma,34000,2011,Male,M,White,2106-3,118.0
Myeloma,34000,2012,Female,F,Black or African American,2054-5,39.0
Myeloma,34000,2012,Female,F,White,2106-3,67.0
Myeloma,34000,2012,Male,M,Black or African American,2054-5,37.0
Myeloma,34000,2012,Male,M,White,2106-3,123.0
Myeloma,34000,2013,Female,F,Black or African American,2054-5,46.0
Myeloma,34000,2013,Female,F,White,2106-3,71.0
Myeloma,34000,2013,Male,M,Black or African American,2054-5,45.0
Myeloma,34000,2013,Male,M,White,2106-3,131.0
Myeloma,34000,2014,Female,F,Black or African American,2054-5,47.0
Myeloma,34000,2014,Female,F,White,2106-3,63.0
Myeloma,34000,2014,Male,M,Black or African American,2054-5,44.0
Myeloma,34000,2014,Male,M,White,2106-3,127.0
Myeloma,34000,2015,Female,F,Black or African American,2054-5,50.0
Myeloma,34000,2015,Female,F,White,2106-3,76.0
Myeloma,34000,2015,Male,M,Black or African American,2054-5,62.0
Myeloma,34000,2015,Male,M,White,2106-3,101.0
Myeloma,34000,2016,Female,F,Black or African American,2054-5,50.0
Myeloma,34000,2016,Female,F,White,2106-3,84.0
Myeloma,34000,2016,Male,M,Black or African American,2054-5,50.0
Myeloma,34000,2016,Male,M,White,2106-3,101.0
Myeloma,34000,2017,Female,F,Black or African American,2054-5,55.0
Myeloma,34000,2017,Female,F,White,2106-3,109.0
Myeloma,34000,2017,Male,M,Black or African American,2054-5,64.0
Myeloma,34000,2017,Male,M,White,2106-3,115.0
Myeloma,34000,2018,Female,F,Black or African American,2054-5,40.0
Myeloma,34000,2018,Female,F,White,2106-3,87.0
Myeloma,34000,2018,Male,M,Black or African American,2054-5,45.0
Myeloma,34000,2018,Male,M,White,2106-3,117.0
Myeloma,34000,2019,Female,F,Black or African American,2054-5,53.0
Myeloma,34000,2019,Female,F,White,2106-3,98.0
Myeloma,34000,2019,Male,M,Black or African American,2054-5,47.0
Myeloma,34000,2019,Male,M,White,2106-3,109.0
Myeloma,34000,2020,Female,F,Black or African American,2054-5,43.0
Myeloma,34000,2020,Female,F,White,2106-3,78.0
Myeloma,34000,2020,Male,M,Black or African American,2054-5,49.0
Myeloma,34000,2020,Male,M,White,2106-3,120.0
Myeloma,34000,2021,Female,F,Black or African American,2054-5,52.0
Myeloma,34000,2021,Female,F,White,2106-3,84.0
