Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Group Code,Sex,Sex Code,Race,Race Code,Deaths
Colon and Rectum,21041-21052,2013,25-29 years,25-29,Male,M,White,2106-3,39.0
Colon and Rectum,21041-21052,2013,30-34 years,30-34,Female,F,Black or African American,2054-5,20.0
Colon and Rectum,21041-21052,2013,30-34 years,30-34,Female,F,White,2106-3,82.0
Colon and Rectum,21041-21052,2013,30-34 years,30-34,Male,M,Black or African American,2054-5,30.0
Colon and Rectum,21041-21052,2013,30-34 years,30-34,Male,M,White,2106-3,108.0
Colon and Rectum,21041-21052,2013,35-39 years,35-39,Female,F,Black or African American,2054-5,23.0
Colon and Rectum,21041-21052,2013,35-39 years,35-39,Female,F,White,2106-3,147.0
Colon and Rectum,21041-21052,2013,35-39 years,35-39,Male,M,Black or African American,2054-5,47.0
Colon and Rectum,21041-21052,2013,35-39 years,35-39,Male,M,White,2106-3,199.0
Colon and Rectum,21041-21052,2014,20-24 years,20-24,Male,M,White,2106-3,19.0
Colon and Rectum,21041-21052,2014,25-29 years,25-29,Female,F,White,2106-3,25.0
Colon and Rectum,21041-21052,2014,25-29 years,25-29,Male,M,White,2106-3,47.0
Colon and Rectum,21041-21052,2014,30-34 years,30-34,Female,F,Black or African American,2054-5,29.0
Colon and Rectum,21041-21052,2014,30-34 years,30-34,Female,F,White,2106-3,64.0
Colon and Rectum,21041-21052,2014,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Colon and Rectum,21041-21052,2014,30-34 years,30-34,Male,M,White,2106-3,94.0
Colon and Rectum,21041-21052,2014,35-39 years,35-39,Female,F,Black or African American,2054-5,39.0
Colon and Rectum,21041-21052,2014,35-39 years,35-39,Female,F,White,2106-3,170.0
Colon and Rectum,21041-21052,2014,35-39 years,35-39,Male,M,Black or African American,2054-5,41.0
Colon and Rectum,21041-21052,2014,35-39 years,35-39,Male,M,White,2106-3,179.0
Colon and Rectum,21041-21052,2015,25-29 years,25-29,Female,F,White,2106-3,33.0
Colon and Rectum,21041-21052,2015,25-29 years,25-29,Male,M,White,2106-3,47.0
Colon and Rectum,21041-21052,2015,30-34 years,30-34,Female,F,Black or African American,2054-5,25.0
Colon and Rectum,21041-21052,2015,30-34 years,30-34,Female,F,White,2106-3,82.0
Colon and Rectum,21041-21052,2015,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Colon and Rectum,21041-21052,2015,30-34 years,30-34,Male,M,White,2106-3,118.0
Colon and Rectum,21041-21052,2015,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,17.0
Colon and Rectum,21041-21052,2015,35-39 years,35-39,Female,F,Black or African American,2054-5,45.0
Colon and Rectum,21041-21052,2015,35-39 years,35-39,Female,F,White,2106-3,129.0
Colon and Rectum,21041-21052,2015,35-39 years,35-39,Male,M,Black or African American,2054-5,55.0
Colon and Rectum,21041-21052,2015,35-39 years,35-39,Male,M,White,2106-3,195.0
Colon and Rectum,21041-21052,2016,25-29 years,25-29,Female,F,White,2106-3,30.0
Colon and Rectum,21041-21052,2016,25-29 years,25-29,Male,M,White,2106-3,45.0
Colon and Rectum,21041-21052,2016,30-34 years,30-34,Female,F,Black or African American,2054-5,24.0
Colon and Rectum,21041-21052,2016,30-34 years,30-34,Female,F,White,2106-3,85.0
Colon and Rectum,21041-21052,2016,30-34 years,30-34,Male,M,Black or African American,2054-5,20.0
Colon and Rectum,21041-21052,2016,30-34 years,30-34,Male,M,White,2106-3,115.0
Colon and Rectum,21041-21052,2016,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,18.0
Colon and Rectum,21041-21052,2016,35-39 years,35-39,Female,F,Black or African American,2054-5,44.0
Colon and Rectum,21041-21052,2016,35-39 years,35-39,Female,F,White,2106-3,166.0
Colon and Rectum,21041-21052,2016,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,18.0
Colon and Rectum,21041-21052,2016,35-39 years,35-39,Male,M,Black or African American,2054-5,53.0
Colon and Rectum,21041-21052,2016,35-39 years,35-39,Male,M,White,2106-3,199.0
Colon and Rectum,21041-21052,2017,25-29 years,25-29,Female,F,White,2106-3,36.0
Colon and Rectum,21041-21052,2017,25-29 years,25-29,Male,M,White,2106-3,35.0
Colon and Rectum,21041-21052,2017,30-34 years,30-34,Female,F,Black or African American,2054-5,17.0
Colon and Rectum,21041-21052,2017,30-34 years,30-34,Female,F,White,2106-3,98.0
Colon and Rectum,21041-21052,2017,30-34 years,30-34,Male,M,Black or African American,2054-5,25.0
Colon and Rectum,21041-21052,2017,30-34 years,30-34,Male,M,White,2106-3,77.0
Colon and Rectum,21041-21052,2017,35-39 years,35-39,Female,F,Black or African American,2054-5,41.0
Colon and Rectum,21041-21052,2017,35-39 years,35-39,Female,F,White,2106-3,159.0
Colon and Rectum,21041-21052,2017,35-39 years,35-39,Male,M,Black or African American,2054-5,55.0
Colon and Rectum,21041-21052,2017,35-39 years,35-39,Male,M,White,2106-3,210.0
Colon and Rectum,21041-21052,2018,25-29 years,25-29,Female,F,White,2106-3,29.0
Colon and Rectum,21041-21052,2018,25-29 years,25-29,Male,M,White,2106-3,37.0
Colon and Rectum,21041-21052,2018,30-34 years,30-34,Female,F,Black or African American,2054-5,26.0
Colon and Rectum,21041-21052,2018,30-34 years,30-34,Female,F,White,2106-3,87.0
Colon and Rectum,21041-21052,2018,30-34 years,30-34,Male,M,Black or African American,2054-5,29.0
Colon and Rectum,21041-21052,2018,30-34 years,30-34,Male,M,White,2106-3,106.0
Colon and Rectum,21041-21052,2018,35-39 years,35-39,Female,F,Black or African American,2054-5,48.0
Colon and Rectum,21041-21052,2018,35-39 years,35-39,Female,F,White,2106-3,169.0
Colon and Rectum,21041-21052,2018,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,23.0
Colon and Rectum,21041-21052,2018,35-39 years,35-39,Male,M,Black or African American,2054-5,38.0
Colon and Rectum,21041-21052,2018,35-39 years,35-39,Male,M,White,2106-3,240.0
Colon and Rectum,21041-21052,2019,25-29 years,25-29,Female,F,White,2106-3,27.0
Colon and Rectum,21041-21052,2019,25-29 years,25-29,Male,M,White,2106-3,43.0
Colon and Rectum,21041-21052,2019,30-34 years,30-34,Female,F,White,2106-3,63.0
Colon and Rectum,21041-21052,2019,30-34 years,30-34,Male,M,Black or African American,2054-5,20.0
Colon and Rectum,21041-21052,2019,30-34 years,30-34,Male,M,White,2106-3,104.0
Colon and Rectum,21041-21052,2019,35-39 years,35-39,Female,F,Black or African American,2054-5,38.0
Colon and Rectum,21041-21052,2019,35-39 years,35-39,Female,F,White,2106-3,181.0
Colon and Rectum,21041-21052,2019,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,16.0
Colon and Rectum,21041-21052,2019,35-39 years,35-39,Male,M,Black or African American,2054-5,46.0
Colon and Rectum,21041-21052,2019,35-39 years,35-39,Male,M,White,2106-3,215.0
Colon and Rectum,21041-21052,2020,20-24 years,20-24,Male,M,White,2106-3,27.0
Colon and Rectum,21041-21052,2020,25-29 years,25-29,Female,F,White,2106-3,26.0
Colon and Rectum,21041-21052,2020,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Colon and Rectum,21041-21052,2020,25-29 years,25-29,Male,M,White,2106-3,49.0
Colon and Rectum,21041-21052,2020,30-34 years,30-34,Female,F,Black or African American,2054-5,22.0
Colon and Rectum,21041-21052,2020,30-34 years,30-34,Female,F,White,2106-3,96.0
Colon and Rectum,21041-21052,2020,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,16.0
Colon and Rectum,21041-21052,2020,30-34 years,30-34,Male,M,Black or African American,2054-5,31.0
Colon and Rectum,21041-21052,2020,30-34 years,30-34,Male,M,White,2106-3,114.0
Colon and Rectum,21041-21052,2020,35-39 years,35-39,Female,F,Black or African American,2054-5,48.0
Colon and Rectum,21041-21052,2020,35-39 years,35-39,Female,F,White,2106-3,155.0
Colon and Rectum,21041-21052,2020,35-39 years,35-39,Male,M,Black or African American,2054-5,57.0
Colon and Rectum,21041-21052,2020,35-39 years,35-39,Male,M,White,2106-3,225.0
Colon and Rectum,21041-21052,2021,25-29 years,25-29,Female,F,White,2106-3,26.0
Colon and Rectum,21041-21052,2021,25-29 years,25-29,Male,M,White,2106-3,42.0
Colon and Rectum,21041-21052,2021,30-34 years,30-34,Female,F,Black or African American,2054-5,22.0
Colon and Rectum,21041-21052,2021,30-34 years,30-34,Female,F,White,2106-3,83.0
Colon and Rectum,21041-21052,2021,30-34 years,30-34,Male,M,Black or African American,2054-5,27.0
Colon and Rectum,21041-21052,2021,30-34 years,30-34,Male,M,White,2106-3,86.0
Colon and Rectum,21041-21052,2021,35-39 years,35-39,Female,F,Black or African American,2054-5,46.0
Colon and Rectum,21041-21052,2021,35-39 years,35-39,Female,F,White,2106-3,182.0
Colon and Rectum,21041-21052,2021,35-39 years,35-39,Male,M,Black or African American,2054-5,57.0
Colon and Rectum,21041-21052,2021,35-39 years,35-39,Male,M,White,2106-3,258.0
Corpus Uteri,27020,2004,35-39 years,35-39,Female,F,White,2106-3,19.0
Corpus Uteri,27020,2005,35-39 years,35-39,Female,F,White,2106-3,18.0
Corpus Uteri,27020,2006,35-39 years,35-39,Female,F,White,2106-3,17.0
Corpus Uteri,27020,2011,35-39 years,35-39,Female,F,White,2106-3,18.0
Corpus Uteri,27020,2012,35-39 years,35-39,Female,F,White,2106-3,20.0
Corpus Uteri,27020,2013,35-39 years,35-39,Female,F,White,2106-3,18.0
Corpus Uteri,27020,2014,35-39 years,35-39,Female,F,White,2106-3,16.0
Corpus Uteri,27020,2016,35-39 years,35-39,Female,F,White,2106-3,26.0
Corpus Uteri,27020,2017,35-39 years,35-39,Female,F,White,2106-3,26.0
Corpus Uteri,27020,2018,35-39 years,35-39,Female,F,White,2106-3,33.0
Corpus Uteri,27020,2019,35-39 years,35-39,Female,F,White,2106-3,26.0
Corpus Uteri,27020,2020,35-39 years,35-39,Female,F,White,2106-3,25.0
Corpus Uteri,27020,2021,35-39 years,35-39,Female,F,White,2106-3,38.0
Esophagus,21010,1999,30-34 years,30-34,Male,M,White,2106-3,18.0
Esophagus,21010,1999,35-39 years,35-39,Male,M,White,2106-3,60.0
Esophagus,21010,2000,30-34 years,30-34,Male,M,White,2106-3,24.0
Esophagus,21010,2000,35-39 years,35-39,Male,M,White,2106-3,67.0
Esophagus,21010,2001,35-39 years,35-39,Male,M,White,2106-3,45.0
Esophagus,21010,2002,35-39 years,35-39,Male,M,White,2106-3,65.0
Esophagus,21010,2003,35-39 years,35-39,Male,M,White,2106-3,58.0
Esophagus,21010,2004,35-39 years,35-39,Male,M,White,2106-3,54.0
Esophagus,21010,2005,30-34 years,30-34,Male,M,White,2106-3,21.0
Esophagus,21010,2005,35-39 years,35-39,Male,M,White,2106-3,52.0
Esophagus,21010,2006,35-39 years,35-39,Male,M,White,2106-3,62.0
Esophagus,21010,2007,30-34 years,30-34,Male,M,White,2106-3,17.0
Esophagus,21010,2007,35-39 years,35-39,Male,M,White,2106-3,39.0
Esophagus,21010,2008,35-39 years,35-39,Male,M,White,2106-3,41.0
Esophagus,21010,2009,30-34 years,30-34,Male,M,White,2106-3,21.0
Esophagus,21010,2009,35-39 years,35-39,Male,M,White,2106-3,47.0
Esophagus,21010,2010,30-34 years,30-34,Male,M,White,2106-3,18.0
Esophagus,21010,2010,35-39 years,35-39,Male,M,White,2106-3,46.0
Esophagus,21010,2011,30-34 years,30-34,Male,M,White,2106-3,22.0
Esophagus,21010,2011,35-39 years,35-39,Male,M,White,2106-3,55.0
Esophagus,21010,2012,35-39 years,35-39,Male,M,White,2106-3,32.0
Esophagus,21010,2013,35-39 years,35-39,Male,M,White,2106-3,46.0
Esophagus,21010,2014,30-34 years,30-34,Male,M,White,2106-3,16.0
Esophagus,21010,2014,35-39 years,35-39,Male,M,White,2106-3,46.0
Esophagus,21010,2015,35-39 years,35-39,Male,M,White,2106-3,41.0
Esophagus,21010,2016,30-34 years,30-34,Male,M,White,2106-3,20.0
Esophagus,21010,2016,35-39 years,35-39,Male,M,White,2106-3,43.0
Esophagus,21010,2017,30-34 years,30-34,Male,M,White,2106-3,20.0
Esophagus,21010,2017,35-39 years,35-39,Male,M,White,2106-3,50.0
Esophagus,21010,2018,30-34 years,30-34,Male,M,White,2106-3,26.0
Esophagus,21010,2018,35-39 years,35-39,Male,M,White,2106-3,46.0
Esophagus,21010,2019,30-34 years,30-34,Male,M,White,2106-3,23.0
Esophagus,21010,2019,35-39 years,35-39,Male,M,White,2106-3,49.0
Esophagus,21010,2020,30-34 years,30-34,Male,M,White,2106-3,19.0
Esophagus,21010,2020,35-39 years,35-39,Male,M,White,2106-3,46.0
Esophagus,21010,2021,30-34 years,30-34,Male,M,White,2106-3,18.0
Esophagus,21010,2021,35-39 years,35-39,Male,M,White,2106-3,53.0
Kidney and Renal Pelvis,29020,1999,35-39 years,35-39,Female,F,White,2106-3,25.0
Kidney and Renal Pelvis,29020,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Kidney and Renal Pelvis,29020,1999,35-39 years,35-39,Male,M,White,2106-3,51.0
Kidney and Renal Pelvis,29020,2000,35-39 years,35-39,Female,F,White,2106-3,17.0
Kidney and Renal Pelvis,29020,2000,35-39 years,35-39,Male,M,White,2106-3,42.0
Kidney and Renal Pelvis,29020,2001,35-39 years,35-39,Male,M,White,2106-3,41.0
Kidney and Renal Pelvis,29020,2002,35-39 years,35-39,Female,F,White,2106-3,21.0
Kidney and Renal Pelvis,29020,2002,35-39 years,35-39,Male,M,White,2106-3,45.0
Kidney and Renal Pelvis,29020,2003,30-34 years,30-34,Male,M,White,2106-3,16.0
Kidney and Renal Pelvis,29020,2003,35-39 years,35-39,Male,M,White,2106-3,41.0
Kidney and Renal Pelvis,29020,2004,35-39 years,35-39,Female,F,White,2106-3,22.0
Kidney and Renal Pelvis,29020,2004,35-39 years,35-39,Male,M,White,2106-3,39.0
Kidney and Renal Pelvis,29020,2005,35-39 years,35-39,Female,F,White,2106-3,27.0
Kidney and Renal Pelvis,29020,2005,35-39 years,35-39,Male,M,White,2106-3,32.0
Kidney and Renal Pelvis,29020,2006,35-39 years,35-39,Female,F,White,2106-3,24.0
Kidney and Renal Pelvis,29020,2006,35-39 years,35-39,Male,M,White,2106-3,32.0
Kidney and Renal Pelvis,29020,2007,30-34 years,30-34,Male,M,White,2106-3,18.0
Kidney and Renal Pelvis,29020,2007,35-39 years,35-39,Male,M,White,2106-3,34.0
Kidney and Renal Pelvis,29020,2008,35-39 years,35-39,Female,F,White,2106-3,18.0
Kidney and Renal Pelvis,29020,2008,35-39 years,35-39,Male,M,White,2106-3,28.0
Kidney and Renal Pelvis,29020,2009,35-39 years,35-39,Female,F,White,2106-3,22.0
Kidney and Renal Pelvis,29020,2009,35-39 years,35-39,Male,M,White,2106-3,39.0
Kidney and Renal Pelvis,29020,2010,35-39 years,35-39,Male,M,White,2106-3,35.0
Kidney and Renal Pelvis,29020,2011,30-34 years,30-34,Male,M,White,2106-3,22.0
Kidney and Renal Pelvis,29020,2011,35-39 years,35-39,Female,F,White,2106-3,17.0
Kidney and Renal Pelvis,29020,2011,35-39 years,35-39,Male,M,White,2106-3,34.0
Kidney and Renal Pelvis,29020,2012,35-39 years,35-39,Female,F,White,2106-3,18.0
Kidney and Renal Pelvis,29020,2012,35-39 years,35-39,Male,M,White,2106-3,35.0
Kidney and Renal Pelvis,29020,2013,30-34 years,30-34,Male,M,White,2106-3,17.0
Kidney and Renal Pelvis,29020,2013,35-39 years,35-39,Female,F,White,2106-3,16.0
Kidney and Renal Pelvis,29020,2013,35-39 years,35-39,Male,M,White,2106-3,33.0
Kidney and Renal Pelvis,29020,2014,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Kidney and Renal Pelvis,29020,2014,35-39 years,35-39,Male,M,White,2106-3,29.0
Kidney and Renal Pelvis,29020,2015,30-34 years,30-34,Male,M,White,2106-3,17.0
Kidney and Renal Pelvis,29020,2015,35-39 years,35-39,Male,M,White,2106-3,33.0
Kidney and Renal Pelvis,29020,2016,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Kidney and Renal Pelvis,29020,2016,35-39 years,35-39,Male,M,White,2106-3,38.0
Kidney and Renal Pelvis,29020,2017,35-39 years,35-39,Female,F,White,2106-3,23.0
Kidney and Renal Pelvis,29020,2017,35-39 years,35-39,Male,M,White,2106-3,38.0
Kidney and Renal Pelvis,29020,2018,35-39 years,35-39,Female,F,White,2106-3,23.0
Kidney and Renal Pelvis,29020,2018,35-39 years,35-39,Male,M,White,2106-3,40.0
Kidney and Renal Pelvis,29020,2019,35-39 years,35-39,Male,M,White,2106-3,39.0
Kidney and Renal Pelvis,29020,2020,35-39 years,35-39,Male,M,White,2106-3,27.0
Kidney and Renal Pelvis,29020,2021,30-34 years,30-34,Male,M,White,2106-3,17.0
Kidney and Renal Pelvis,29020,2021,35-39 years,35-39,Male,M,White,2106-3,36.0
Leukemias,35011-35043,1999,20-24 years,20-24,Female,F,Black or African American,2054-5,25.0
Leukemias,35011-35043,1999,20-24 years,20-24,Female,F,White,2106-3,73.0
Leukemias,35011-35043,1999,20-24 years,20-24,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,1999,20-24 years,20-24,Male,M,White,2106-3,136.0
Leukemias,35011-35043,1999,25-29 years,25-29,Female,F,White,2106-3,87.0
Leukemias,35011-35043,1999,25-29 years,25-29,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,1999,25-29 years,25-29,Male,M,White,2106-3,104.0
Leukemias,35011-35043,1999,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,1999,30-34 years,30-34,Female,F,White,2106-3,95.0
Leukemias,35011-35043,1999,30-34 years,30-34,Male,M,Black or African American,2054-5,22.0
Leukemias,35011-35043,1999,30-34 years,30-34,Male,M,White,2106-3,115.0
Leukemias,35011-35043,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,28.0
Leukemias,35011-35043,1999,35-39 years,35-39,Female,F,White,2106-3,137.0
Leukemias,35011-35043,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,25.0
Leukemias,35011-35043,1999,35-39 years,35-39,Male,M,White,2106-3,170.0
Leukemias,35011-35043,2000,20-24 years,20-24,Female,F,White,2106-3,63.0
Leukemias,35011-35043,2000,20-24 years,20-24,Male,M,Black or African American,2054-5,24.0
Leukemias,35011-35043,2000,20-24 years,20-24,Male,M,White,2106-3,112.0
Leukemias,35011-35043,2000,25-29 years,25-29,Female,F,Black or African American,2054-5,21.0
Leukemias,35011-35043,2000,25-29 years,25-29,Female,F,White,2106-3,70.0
Leukemias,35011-35043,2000,25-29 years,25-29,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2000,25-29 years,25-29,Male,M,White,2106-3,102.0
Leukemias,35011-35043,2000,30-34 years,30-34,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2000,30-34 years,30-34,Female,F,White,2106-3,69.0
Leukemias,35011-35043,2000,30-34 years,30-34,Male,M,Black or African American,2054-5,32.0
Leukemias,35011-35043,2000,30-34 years,30-34,Male,M,White,2106-3,114.0
Leukemias,35011-35043,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,29.0
Leukemias,35011-35043,2000,35-39 years,35-39,Female,F,White,2106-3,146.0
Leukemias,35011-35043,2000,35-39 years,35-39,Male,M,Black or African American,2054-5,20.0
Leukemias,35011-35043,2000,35-39 years,35-39,Male,M,White,2106-3,154.0
Leukemias,35011-35043,2001,20-24 years,20-24,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2001,20-24 years,20-24,Female,F,White,2106-3,78.0
Leukemias,35011-35043,2001,20-24 years,20-24,Male,M,Black or African American,2054-5,19.0
Leukemias,35011-35043,2001,20-24 years,20-24,Male,M,White,2106-3,125.0
Leukemias,35011-35043,2001,25-29 years,25-29,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2001,25-29 years,25-29,Female,F,White,2106-3,68.0
Leukemias,35011-35043,2001,25-29 years,25-29,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2001,25-29 years,25-29,Male,M,White,2106-3,103.0
Leukemias,35011-35043,2001,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2001,30-34 years,30-34,Female,F,White,2106-3,95.0
Leukemias,35011-35043,2001,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2001,30-34 years,30-34,Male,M,White,2106-3,136.0
Leukemias,35011-35043,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,21.0
Leukemias,35011-35043,2001,35-39 years,35-39,Female,F,White,2106-3,126.0
Leukemias,35011-35043,2001,35-39 years,35-39,Male,M,Black or African American,2054-5,33.0
Leukemias,35011-35043,2001,35-39 years,35-39,Male,M,White,2106-3,157.0
Leukemias,35011-35043,2002,20-24 years,20-24,Female,F,White,2106-3,81.0
Leukemias,35011-35043,2002,20-24 years,20-24,Male,M,White,2106-3,120.0
Leukemias,35011-35043,2002,25-29 years,25-29,Female,F,White,2106-3,55.0
Leukemias,35011-35043,2002,25-29 years,25-29,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2002,25-29 years,25-29,Male,M,White,2106-3,94.0
Leukemias,35011-35043,2002,30-34 years,30-34,Female,F,Black or African American,2054-5,19.0
Leukemias,35011-35043,2002,30-34 years,30-34,Female,F,White,2106-3,90.0
Leukemias,35011-35043,2002,30-34 years,30-34,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2002,30-34 years,30-34,Male,M,White,2106-3,131.0
Leukemias,35011-35043,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2002,35-39 years,35-39,Female,F,White,2106-3,120.0
Leukemias,35011-35043,2002,35-39 years,35-39,Male,M,Black or African American,2054-5,27.0
Leukemias,35011-35043,2002,35-39 years,35-39,Male,M,White,2106-3,142.0
Leukemias,35011-35043,2003,20-24 years,20-24,Female,F,White,2106-3,70.0
Leukemias,35011-35043,2003,20-24 years,20-24,Male,M,Black or African American,2054-5,20.0
Leukemias,35011-35043,2003,20-24 years,20-24,Male,M,White,2106-3,103.0
Leukemias,35011-35043,2003,25-29 years,25-29,Female,F,White,2106-3,69.0
Leukemias,35011-35043,2003,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Leukemias,35011-35043,2003,25-29 years,25-29,Male,M,White,2106-3,100.0
Leukemias,35011-35043,2003,30-34 years,30-34,Female,F,White,2106-3,63.0
Leukemias,35011-35043,2003,30-34 years,30-34,Male,M,Black or African American,2054-5,24.0
Leukemias,35011-35043,2003,30-34 years,30-34,Male,M,White,2106-3,118.0
Leukemias,35011-35043,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,25.0
Leukemias,35011-35043,2003,35-39 years,35-39,Female,F,White,2106-3,122.0
Leukemias,35011-35043,2003,35-39 years,35-39,Male,M,Black or African American,2054-5,33.0
Leukemias,35011-35043,2003,35-39 years,35-39,Male,M,White,2106-3,123.0
Leukemias,35011-35043,2004,20-24 years,20-24,Female,F,White,2106-3,69.0
Leukemias,35011-35043,2004,20-24 years,20-24,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2004,20-24 years,20-24,Male,M,White,2106-3,116.0
Leukemias,35011-35043,2004,25-29 years,25-29,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2004,25-29 years,25-29,Female,F,White,2106-3,57.0
Leukemias,35011-35043,2004,25-29 years,25-29,Male,M,White,2106-3,78.0
Leukemias,35011-35043,2004,30-34 years,30-34,Female,F,Black or African American,2054-5,17.0
Leukemias,35011-35043,2004,30-34 years,30-34,Female,F,White,2106-3,77.0
Leukemias,35011-35043,2004,30-34 years,30-34,Male,M,Black or African American,2054-5,24.0
Leukemias,35011-35043,2004,30-34 years,30-34,Male,M,White,2106-3,119.0
Leukemias,35011-35043,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,22.0
Leukemias,35011-35043,2004,35-39 years,35-39,Female,F,White,2106-3,96.0
Leukemias,35011-35043,2004,35-39 years,35-39,Male,M,Black or African American,2054-5,28.0
Leukemias,35011-35043,2004,35-39 years,35-39,Male,M,White,2106-3,122.0
Leukemias,35011-35043,2005,20-24 years,20-24,Female,F,White,2106-3,71.0
Leukemias,35011-35043,2005,20-24 years,20-24,Male,M,Black or African American,2054-5,25.0
Leukemias,35011-35043,2005,20-24 years,20-24,Male,M,White,2106-3,131.0
Leukemias,35011-35043,2005,25-29 years,25-29,Female,F,Black or African American,2054-5,21.0
Leukemias,35011-35043,2005,25-29 years,25-29,Female,F,White,2106-3,58.0
Leukemias,35011-35043,2005,25-29 years,25-29,Male,M,Black or African American,2054-5,21.0
Leukemias,35011-35043,2005,25-29 years,25-29,Male,M,White,2106-3,101.0
Leukemias,35011-35043,2005,30-34 years,30-34,Female,F,Black or African American,2054-5,23.0
Leukemias,35011-35043,2005,30-34 years,30-34,Female,F,White,2106-3,90.0
Leukemias,35011-35043,2005,30-34 years,30-34,Male,M,Black or African American,2054-5,19.0
Leukemias,35011-35043,2005,30-34 years,30-34,Male,M,White,2106-3,102.0
Leukemias,35011-35043,2005,35-39 years,35-39,Female,F,White,2106-3,118.0
Leukemias,35011-35043,2005,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2005,35-39 years,35-39,Male,M,White,2106-3,128.0
Leukemias,35011-35043,2006,20-24 years,20-24,Female,F,White,2106-3,73.0
Leukemias,35011-35043,2006,20-24 years,20-24,Male,M,Black or African American,2054-5,26.0
Leukemias,35011-35043,2006,20-24 years,20-24,Male,M,White,2106-3,134.0
Leukemias,35011-35043,2006,25-29 years,25-29,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2006,25-29 years,25-29,Female,F,White,2106-3,64.0
Leukemias,35011-35043,2006,25-29 years,25-29,Male,M,White,2106-3,122.0
Leukemias,35011-35043,2006,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2006,30-34 years,30-34,Female,F,White,2106-3,78.0
Leukemias,35011-35043,2006,30-34 years,30-34,Male,M,Black or African American,2054-5,20.0
Leukemias,35011-35043,2006,30-34 years,30-34,Male,M,White,2106-3,106.0
Leukemias,35011-35043,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,19.0
Leukemias,35011-35043,2006,35-39 years,35-39,Female,F,White,2106-3,110.0
Leukemias,35011-35043,2006,35-39 years,35-39,Male,M,Black or African American,2054-5,23.0
Leukemias,35011-35043,2006,35-39 years,35-39,Male,M,White,2106-3,136.0
Leukemias,35011-35043,2007,20-24 years,20-24,Female,F,White,2106-3,75.0
Leukemias,35011-35043,2007,20-24 years,20-24,Male,M,Black or African American,2054-5,20.0
Leukemias,35011-35043,2007,20-24 years,20-24,Male,M,White,2106-3,107.0
Leukemias,35011-35043,2007,25-29 years,25-29,Female,F,White,2106-3,66.0
Leukemias,35011-35043,2007,25-29 years,25-29,Male,M,Black or African American,2054-5,18.0
Leukemias,35011-35043,2007,25-29 years,25-29,Male,M,White,2106-3,97.0
Leukemias,35011-35043,2007,30-34 years,30-34,Female,F,Black or African American,2054-5,16.0
Leukemias,35011-35043,2007,30-34 years,30-34,Female,F,White,2106-3,82.0
Leukemias,35011-35043,2007,30-34 years,30-34,Male,M,Black or African American,2054-5,16.0
Leukemias,35011-35043,2007,30-34 years,30-34,Male,M,White,2106-3,104.0
Leukemias,35011-35043,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,18.0
Leukemias,35011-35043,2007,35-39 years,35-39,Female,F,White,2106-3,89.0
Leukemias,35011-35043,2007,35-39 years,35-39,Male,M,Black or African American,2054-5,22.0
