Leading Cancer Sites,Leading Cancer Sites Code,Year,Race,Race Code,Count
Leukemias,35011-35043,2012,Other Races and Unknown combined,2131-1,61.0
Leukemias,35011-35043,2013,American Indian or Alaska Native,1002-5,33.0
Leukemias,35011-35043,2013,Asian or Pacific Islander,A-PI,184.0
Leukemias,35011-35043,2013,Black or African American,2054-5,385.0
Leukemias,35011-35043,2013,White,2106-3,2301.0
Leukemias,35011-35043,2013,Other Races and Unknown combined,2131-1,64.0
Leukemias,35011-35043,2014,American Indian or Alaska Native,1002-5,34.0
Leukemias,35011-35043,2014,Asian or Pacific Islander,A-PI,179.0
Leukemias,35011-35043,2014,Black or African American,2054-5,438.0
Leukemias,35011-35043,2014,White,2106-3,2428.0
Leukemias,35011-35043,2014,Other Races and Unknown combined,2131-1,78.0
Leukemias,35011-35043,2015,American Indian or Alaska Native,1002-5,33.0
Leukemias,35011-35043,2015,Asian or Pacific Islander,A-PI,184.0
Leukemias,35011-35043,2015,Black or African American,2054-5,418.0
Leukemias,35011-35043,2015,White,2106-3,2377.0
Leukemias,35011-35043,2015,Other Races and Unknown combined,2131-1,60.0
Leukemias,35011-35043,2016,American Indian or Alaska Native,1002-5,34.0
Leukemias,35011-35043,2016,Asian or Pacific Islander,A-PI,216.0
Leukemias,35011-35043,2016,Black or African American,2054-5,434.0
Leukemias,35011-35043,2016,White,2106-3,2316.0
Leukemias,35011-35043,2016,Other Races and Unknown combined,2131-1,79.0
Leukemias,35011-35043,2017,American Indian or Alaska Native,1002-5,40.0
Leukemias,35011-35043,2017,Asian or Pacific Islander,A-PI,208.0
Leukemias,35011-35043,2017,Black or African American,2054-5,408.0
Leukemias,35011-35043,2017,White,2106-3,2376.0
Leukemias,35011-35043,2017,Other Races and Unknown combined,2131-1,81.0
Leukemias,35011-35043,2018,American Indian or Alaska Native,1002-5,42.0
Leukemias,35011-35043,2018,Asian or Pacific Islander,A-PI,197.0
Leukemias,35011-35043,2018,Black or African American,2054-5,436.0
Leukemias,35011-35043,2018,White,2106-3,2359.0
Leukemias,35011-35043,2018,Other Races and Unknown combined,2131-1,103.0
Leukemias,35011-35043,2019,American Indian or Alaska Native,1002-5,45.0
Leukemias,35011-35043,2019,Asian or Pacific Islander,A-PI,208.0
Leukemias,35011-35043,2019,Black or African American,2054-5,433.0
Leukemias,35011-35043,2019,White,2106-3,2430.0
Leukemias,35011-35043,2019,Other Races and Unknown combined,2131-1,108.0
Leukemias,35011-35043,2020,American Indian or Alaska Native,1002-5,42.0
Leukemias,35011-35043,2020,Asian or Pacific Islander,A-PI,174.0
Leukemias,35011-35043,2020,Black or African American,2054-5,390.0
Leukemias,35011-35043,2020,White,2106-3,2241.0
Leukemias,35011-35043,2020,Other Races and Unknown combined,2131-1,108.0
Leukemias,35011-35043,2021,American Indian or Alaska Native,1002-5,54.0
Leukemias,35011-35043,2021,Asian or Pacific Islander,A-PI,216.0
Leukemias,35011-35043,2021,Black or African American,2054-5,416.0
Leukemias,35011-35043,2021,White,2106-3,2338.0
Leukemias,35011-35043,2021,Other Races and Unknown combined,2131-1,101.0
Liver,21071,1999,Asian or Pacific Islander,A-PI,64.0
Liver,21071,1999,Black or African American,2054-5,53.0
Liver,21071,1999,White,2106-3,155.0
Liver,21071,2000,Asian or Pacific Islander,A-PI,54.0
Liver,21071,2000,Black or African American,2054-5,61.0
Liver,21071,2000,White,2106-3,151.0
Liver,21071,2001,Asian or Pacific Islander,A-PI,63.0
Liver,21071,2001,Black or African American,2054-5,64.0
Liver,21071,2001,White,2106-3,178.0
Liver,21071,2002,Asian or Pacific Islander,A-PI,55.0
Liver,21071,2002,Black or African American,2054-5,61.0
Liver,21071,2002,White,2106-3,173.0
Liver,21071,2003,Asian or Pacific Islander,A-PI,67.0
Liver,21071,2003,Black or African American,2054-5,79.0
Liver,21071,2003,White,2106-3,167.0
Liver,21071,2004,Asian or Pacific Islander,A-PI,59.0
Liver,21071,2004,Black or African American,2054-5,91.0
Liver,21071,2004,White,2106-3,175.0
Liver,21071,2005,Asian or Pacific Islander,A-PI,60.0
Liver,21071,2005,Black or African American,2054-5,82.0
Liver,21071,2005,White,2106-3,177.0
Liver,21071,2006,Asian or Pacific Islander,A-PI,58.0
Liver,21071,2006,Black or African American,2054-5,80.0
Liver,21071,2006,White,2106-3,167.0
Liver,21071,2007,Asian or Pacific Islander,A-PI,79.0
Liver,21071,2007,Black or African American,2054-5,68.0
Liver,21071,2007,White,2106-3,167.0
Liver,21071,2008,Asian or Pacific Islander,A-PI,66.0
Liver,21071,2008,Black or African American,2054-5,84.0
Liver,21071,2008,White,2106-3,164.0
Liver,21071,2009,Asian or Pacific Islander,A-PI,67.0
Liver,21071,2009,Black or African American,2054-5,65.0
Liver,21071,2009,White,2106-3,191.0
Liver,21071,2010,Asian or Pacific Islander,A-PI,64.0
Liver,21071,2010,Black or African American,2054-5,65.0
Liver,21071,2010,White,2106-3,146.0
Liver,21071,2011,Asian or Pacific Islander,A-PI,56.0
Liver,21071,2011,Black or African American,2054-5,58.0
Liver,21071,2011,White,2106-3,166.0
Liver,21071,2012,Asian or Pacific Islander,A-PI,56.0
Liver,21071,2012,Black or African American,2054-5,68.0
Liver,21071,2012,White,2106-3,156.0
Liver,21071,2013,Asian or Pacific Islander,A-PI,43.0
Liver,21071,2013,Black or African American,2054-5,76.0
Liver,21071,2013,White,2106-3,165.0
Liver,21071,2014,Asian or Pacific Islander,A-PI,61.0
Liver,21071,2014,Black or African American,2054-5,55.0
Liver,21071,2014,White,2106-3,169.0
Liver,21071,2015,Asian or Pacific Islander,A-PI,44.0
Liver,21071,2015,Black or African American,2054-5,92.0
Liver,21071,2015,White,2106-3,183.0
Liver,21071,2016,Asian or Pacific Islander,A-PI,53.0
Liver,21071,2016,Black or African American,2054-5,83.0
Liver,21071,2016,White,2106-3,195.0
Liver,21071,2017,Asian or Pacific Islander,A-PI,51.0
Liver,21071,2017,Black or African American,2054-5,80.0
Liver,21071,2017,White,2106-3,191.0
Liver,21071,2018,Asian or Pacific Islander,A-PI,49.0
Liver,21071,2018,Black or African American,2054-5,81.0
Liver,21071,2018,White,2106-3,143.0
Liver,21071,2019,Asian or Pacific Islander,A-PI,47.0
Liver,21071,2019,Black or African American,2054-5,81.0
Liver,21071,2019,White,2106-3,219.0
Liver,21071,2020,Asian or Pacific Islander,A-PI,50.0
Liver,21071,2020,Black or African American,2054-5,63.0
Liver,21071,2020,White,2106-3,203.0
Liver,21071,2021,Asian or Pacific Islander,A-PI,47.0
Liver,21071,2021,Black or African American,2054-5,73.0
Liver,21071,2021,White,2106-3,230.0
Liver,21071,2021,Other Races and Unknown combined,2131-1,16.0
Lung and Bronchus,22030,1999,Asian or Pacific Islander,A-PI,57.0
Lung and Bronchus,22030,1999,Black or African American,2054-5,279.0
Lung and Bronchus,22030,1999,White,2106-3,1287.0
Lung and Bronchus,22030,2000,Asian or Pacific Islander,A-PI,60.0
Lung and Bronchus,22030,2000,Black or African American,2054-5,253.0
Lung and Bronchus,22030,2000,White,2106-3,1265.0
Lung and Bronchus,22030,2001,Asian or Pacific Islander,A-PI,65.0
Lung and Bronchus,22030,2001,Black or African American,2054-5,213.0
Lung and Bronchus,22030,2001,White,2106-3,1258.0
Lung and Bronchus,22030,2002,Asian or Pacific Islander,A-PI,67.0
Lung and Bronchus,22030,2002,Black or African American,2054-5,180.0
Lung and Bronchus,22030,2002,White,2106-3,1115.0
Lung and Bronchus,22030,2003,Asian or Pacific Islander,A-PI,59.0
Lung and Bronchus,22030,2003,Black or African American,2054-5,197.0
Lung and Bronchus,22030,2003,White,2106-3,1094.0
Lung and Bronchus,22030,2004,Asian or Pacific Islander,A-PI,52.0
Lung and Bronchus,22030,2004,Black or African American,2054-5,211.0
Lung and Bronchus,22030,2004,White,2106-3,1027.0
Lung and Bronchus,22030,2005,Asian or Pacific Islander,A-PI,59.0
Lung and Bronchus,22030,2005,Black or African American,2054-5,165.0
Lung and Bronchus,22030,2005,White,2106-3,973.0
Lung and Bronchus,22030,2006,Asian or Pacific Islander,A-PI,69.0
Lung and Bronchus,22030,2006,Black or African American,2054-5,175.0
Lung and Bronchus,22030,2006,White,2106-3,999.0
Lung and Bronchus,22030,2007,Asian or Pacific Islander,A-PI,75.0
Lung and Bronchus,22030,2007,Black or African American,2054-5,165.0
Lung and Bronchus,22030,2007,White,2106-3,877.0
Lung and Bronchus,22030,2008,Asian or Pacific Islander,A-PI,74.0
Lung and Bronchus,22030,2008,Black or African American,2054-5,160.0
Lung and Bronchus,22030,2008,White,2106-3,936.0
Lung and Bronchus,22030,2009,Asian or Pacific Islander,A-PI,88.0
Lung and Bronchus,22030,2009,Black or African American,2054-5,162.0
Lung and Bronchus,22030,2009,White,2106-3,890.0
Lung and Bronchus,22030,2010,Asian or Pacific Islander,A-PI,58.0
Lung and Bronchus,22030,2010,Black or African American,2054-5,127.0
Lung and Bronchus,22030,2010,White,2106-3,878.0
Lung and Bronchus,22030,2011,Asian or Pacific Islander,A-PI,80.0
Lung and Bronchus,22030,2011,Black or African American,2054-5,137.0
Lung and Bronchus,22030,2011,White,2106-3,850.0
Lung and Bronchus,22030,2012,Asian or Pacific Islander,A-PI,71.0
Lung and Bronchus,22030,2012,Black or African American,2054-5,161.0
Lung and Bronchus,22030,2012,White,2106-3,745.0
Lung and Bronchus,22030,2013,Asian or Pacific Islander,A-PI,84.0
Lung and Bronchus,22030,2013,Black or African American,2054-5,166.0
Lung and Bronchus,22030,2013,White,2106-3,770.0
Lung and Bronchus,22030,2014,Asian or Pacific Islander,A-PI,70.0
Lung and Bronchus,22030,2014,Black or African American,2054-5,158.0
Lung and Bronchus,22030,2014,White,2106-3,726.0
Lung and Bronchus,22030,2015,Asian or Pacific Islander,A-PI,76.0
Lung and Bronchus,22030,2015,Black or African American,2054-5,167.0
Lung and Bronchus,22030,2015,White,2106-3,739.0
Lung and Bronchus,22030,2016,Asian or Pacific Islander,A-PI,85.0
Lung and Bronchus,22030,2016,Black or African American,2054-5,187.0
Lung and Bronchus,22030,2016,White,2106-3,741.0
Lung and Bronchus,22030,2017,Asian or Pacific Islander,A-PI,106.0
Lung and Bronchus,22030,2017,Black or African American,2054-5,172.0
Lung and Bronchus,22030,2017,White,2106-3,751.0
Lung and Bronchus,22030,2018,Asian or Pacific Islander,A-PI,92.0
Lung and Bronchus,22030,2018,Black or African American,2054-5,189.0
Lung and Bronchus,22030,2018,White,2106-3,733.0
Lung and Bronchus,22030,2019,Asian or Pacific Islander,A-PI,86.0
Lung and Bronchus,22030,2019,Black or African American,2054-5,194.0
Lung and Bronchus,22030,2019,White,2106-3,755.0
Lung and Bronchus,22030,2019,Other Races and Unknown combined,2131-1,19.0
Lung and Bronchus,22030,2020,Asian or Pacific Islander,A-PI,72.0
Lung and Bronchus,22030,2020,Black or African American,2054-5,173.0
Lung and Bronchus,22030,2020,White,2106-3,672.0
Lung and Bronchus,22030,2020,Other Races and Unknown combined,2131-1,24.0
Lung and Bronchus,22030,2021,Asian or Pacific Islander,A-PI,78.0
Lung and Bronchus,22030,2021,Black or African American,2054-5,158.0
Lung and Bronchus,22030,2021,White,2106-3,640.0
Lung and Bronchus,22030,2021,Other Races and Unknown combined,2131-1,29.0
Melanoma of the Skin,25010,1999,American Indian or Alaska Native,1002-5,26.0
Melanoma of the Skin,25010,1999,Asian or Pacific Islander,A-PI,28.0
Melanoma of the Skin,25010,1999,Black or African American,2054-5,34.0
Melanoma of the Skin,25010,1999,White,2106-3,5849.0
Melanoma of the Skin,25010,1999,Other Races and Unknown combined,2131-1,201.0
Melanoma of the Skin,25010,2000,American Indian or Alaska Native,1002-5,19.0
Melanoma of the Skin,25010,2000,Asian or Pacific Islander,A-PI,22.0
Melanoma of the Skin,25010,2000,Black or African American,2054-5,38.0
Melanoma of the Skin,25010,2000,White,2106-3,6242.0
Melanoma of the Skin,25010,2000,Other Races and Unknown combined,2131-1,211.0
Melanoma of the Skin,25010,2001,American Indian or Alaska Native,1002-5,27.0
Melanoma of the Skin,25010,2001,Asian or Pacific Islander,A-PI,26.0
Melanoma of the Skin,25010,2001,Black or African American,2054-5,41.0
Melanoma of the Skin,25010,2001,White,2106-3,6538.0
Melanoma of the Skin,25010,2001,Other Races and Unknown combined,2131-1,330.0
Melanoma of the Skin,25010,2002,American Indian or Alaska Native,1002-5,23.0
Melanoma of the Skin,25010,2002,Asian or Pacific Islander,A-PI,42.0
Melanoma of the Skin,25010,2002,Black or African American,2054-5,31.0
Melanoma of the Skin,25010,2002,White,2106-3,6684.0
Melanoma of the Skin,25010,2002,Other Races and Unknown combined,2131-1,360.0
Melanoma of the Skin,25010,2003,American Indian or Alaska Native,1002-5,25.0
Melanoma of the Skin,25010,2003,Asian or Pacific Islander,A-PI,30.0
Melanoma of the Skin,25010,2003,Black or African American,2054-5,31.0
Melanoma of the Skin,25010,2003,White,2106-3,6212.0
Melanoma of the Skin,25010,2003,Other Races and Unknown combined,2131-1,319.0
Melanoma of the Skin,25010,2004,American Indian or Alaska Native,1002-5,22.0
Melanoma of the Skin,25010,2004,Asian or Pacific Islander,A-PI,37.0
Melanoma of the Skin,25010,2004,Black or African American,2054-5,36.0
Melanoma of the Skin,25010,2004,White,2106-3,6613.0
Melanoma of the Skin,25010,2004,Other Races and Unknown combined,2131-1,300.0
Melanoma of the Skin,25010,2005,American Indian or Alaska Native,1002-5,27.0
Melanoma of the Skin,25010,2005,Asian or Pacific Islander,A-PI,27.0
Melanoma of the Skin,25010,2005,Black or African American,2054-5,44.0
Melanoma of the Skin,25010,2005,White,2106-3,7071.0
Melanoma of the Skin,25010,2005,Other Races and Unknown combined,2131-1,295.0
Melanoma of the Skin,25010,2006,American Indian or Alaska Native,1002-5,28.0
Melanoma of the Skin,25010,2006,Asian or Pacific Islander,A-PI,28.0
Melanoma of the Skin,25010,2006,Black or African American,2054-5,30.0
Melanoma of the Skin,25010,2006,White,2106-3,6758.0
Melanoma of the Skin,25010,2006,Other Races and Unknown combined,2131-1,296.0
Melanoma of the Skin,25010,2007,American Indian or Alaska Native,1002-5,33.0
Melanoma of the Skin,25010,2007,Asian or Pacific Islander,A-PI,37.0
Melanoma of the Skin,25010,2007,Black or African American,2054-5,31.0
Melanoma of the Skin,25010,2007,White,2106-3,6783.0
Melanoma of the Skin,25010,2007,Other Races and Unknown combined,2131-1,323.0
Melanoma of the Skin,25010,2008,American Indian or Alaska Native,1002-5,23.0
Melanoma of the Skin,25010,2008,Asian or Pacific Islander,A-PI,45.0
Melanoma of the Skin,25010,2008,Black or African American,2054-5,33.0
Melanoma of the Skin,25010,2008,White,2106-3,6466.0
Melanoma of the Skin,25010,2008,Other Races and Unknown combined,2131-1,324.0
Melanoma of the Skin,25010,2009,American Indian or Alaska Native,1002-5,28.0
Melanoma of the Skin,25010,2009,Asian or Pacific Islander,A-PI,27.0
Melanoma of the Skin,25010,2009,Black or African American,2054-5,22.0
Melanoma of the Skin,25010,2009,White,2106-3,6700.0
Melanoma of the Skin,25010,2009,Other Races and Unknown combined,2131-1,294.0
Melanoma of the Skin,25010,2010,American Indian or Alaska Native,1002-5,29.0
Melanoma of the Skin,25010,2010,Asian or Pacific Islander,A-PI,29.0
Melanoma of the Skin,25010,2010,Black or African American,2054-5,37.0
Melanoma of the Skin,25010,2010,White,2106-3,6253.0
Melanoma of the Skin,25010,2010,Other Races and Unknown combined,2131-1,277.0
Melanoma of the Skin,25010,2011,American Indian or Alaska Native,1002-5,29.0
Melanoma of the Skin,25010,2011,Asian or Pacific Islander,A-PI,38.0
Melanoma of the Skin,25010,2011,Black or African American,2054-5,39.0
Melanoma of the Skin,25010,2011,White,2106-3,6055.0
Melanoma of the Skin,25010,2011,Other Races and Unknown combined,2131-1,338.0
Melanoma of the Skin,25010,2012,American Indian or Alaska Native,1002-5,30.0
Melanoma of the Skin,25010,2012,Asian or Pacific Islander,A-PI,33.0
Melanoma of the Skin,25010,2012,Black or African American,2054-5,29.0
Melanoma of the Skin,25010,2012,White,2106-3,6077.0
Melanoma of the Skin,25010,2012,Other Races and Unknown combined,2131-1,298.0
Melanoma of the Skin,25010,2013,American Indian or Alaska Native,1002-5,20.0
Melanoma of the Skin,25010,2013,Asian or Pacific Islander,A-PI,26.0
Melanoma of the Skin,25010,2013,Black or African American,2054-5,41.0
Melanoma of the Skin,25010,2013,White,2106-3,6029.0
Melanoma of the Skin,25010,2013,Other Races and Unknown combined,2131-1,277.0
Melanoma of the Skin,25010,2014,American Indian or Alaska Native,1002-5,26.0
Melanoma of the Skin,25010,2014,Asian or Pacific Islander,A-PI,39.0
Melanoma of the Skin,25010,2014,Black or African American,2054-5,35.0
Melanoma of the Skin,25010,2014,White,2106-3,6191.0
Melanoma of the Skin,25010,2014,Other Races and Unknown combined,2131-1,334.0
Melanoma of the Skin,25010,2015,American Indian or Alaska Native,1002-5,43.0
Melanoma of the Skin,25010,2015,Asian or Pacific Islander,A-PI,35.0
Melanoma of the Skin,25010,2015,Black or African American,2054-5,38.0
Melanoma of the Skin,25010,2015,White,2106-3,6415.0
Melanoma of the Skin,25010,2015,Other Races and Unknown combined,2131-1,335.0
Melanoma of the Skin,25010,2016,American Indian or Alaska Native,1002-5,21.0
Melanoma of the Skin,25010,2016,Asian or Pacific Islander,A-PI,32.0
Melanoma of the Skin,25010,2016,Black or African American,2054-5,22.0
Melanoma of the Skin,25010,2016,White,2106-3,6447.0
Melanoma of the Skin,25010,2016,Other Races and Unknown combined,2131-1,395.0
Melanoma of the Skin,25010,2017,American Indian or Alaska Native,1002-5,33.0
Melanoma of the Skin,25010,2017,Asian or Pacific Islander,A-PI,36.0
Melanoma of the Skin,25010,2017,Black or African American,2054-5,31.0
Melanoma of the Skin,25010,2017,White,2106-3,6279.0
Melanoma of the Skin,25010,2017,Other Races and Unknown combined,2131-1,367.0
Melanoma of the Skin,25010,2018,American Indian or Alaska Native,1002-5,25.0
Melanoma of the Skin,25010,2018,Asian or Pacific Islander,A-PI,42.0
Melanoma of the Skin,25010,2018,Black or African American,2054-5,29.0
Melanoma of the Skin,25010,2018,White,2106-3,6045.0
Melanoma of the Skin,25010,2018,Other Races and Unknown combined,2131-1,405.0
Melanoma of the Skin,25010,2019,American Indian or Alaska Native,1002-5,34.0
Melanoma of the Skin,25010,2019,Asian or Pacific Islander,A-PI,31.0
Melanoma of the Skin,25010,2019,Black or African American,2054-5,26.0
Melanoma of the Skin,25010,2019,White,2106-3,6086.0
Melanoma of the Skin,25010,2019,Other Races and Unknown combined,2131-1,418.0
Melanoma of the Skin,25010,2020,American Indian or Alaska Native,1002-5,31.0
Melanoma of the Skin,25010,2020,Asian or Pacific Islander,A-PI,32.0
Melanoma of the Skin,25010,2020,Black or African American,2054-5,26.0
Melanoma of the Skin,25010,2020,White,2106-3,5032.0
Melanoma of the Skin,25010,2020,Other Races and Unknown combined,2131-1,417.0
Melanoma of the Skin,25010,2021,American Indian or Alaska Native,1002-5,27.0
Melanoma of the Skin,25010,2021,Asian or Pacific Islander,A-PI,35.0
Melanoma of the Skin,25010,2021,Black or African American,2054-5,30.0
Melanoma of the Skin,25010,2021,White,2106-3,5534.0
Melanoma of the Skin,25010,2021,Other Races and Unknown combined,2131-1,485.0
Myeloma,34000,1999,Black or African American,2054-5,57.0
Myeloma,34000,1999,White,2106-3,162.0
Myeloma,34000,2000,Black or African American,2054-5,72.0
Myeloma,34000,2000,White,2106-3,173.0
Myeloma,34000,2001,Black or African American,2054-5,76.0
Myeloma,34000,2001,White,2106-3,189.0
Myeloma,34000,2002,Black or African American,2054-5,67.0
Myeloma,34000,2002,White,2106-3,172.0
Myeloma,34000,2003,Black or African American,2054-5,73.0
Myeloma,34000,2003,White,2106-3,157.0
Myeloma,34000,2004,Black or African American,2054-5,74.0
Myeloma,34000,2004,White,2106-3,161.0
Myeloma,34000,2005,Black or African American,2054-5,86.0
Myeloma,34000,2005,White,2106-3,171.0
Myeloma,34000,2006,Black or African American,2054-5,86.0
Myeloma,34000,2006,White,2106-3,160.0
Myeloma,34000,2007,Black or African American,2054-5,80.0
Myeloma,34000,2007,White,2106-3,165.0
Myeloma,34000,2008,Black or African American,2054-5,61.0
Myeloma,34000,2008,White,2106-3,185.0
Myeloma,34000,2009,Black or African American,2054-5,56.0
Myeloma,34000,2009,White,2106-3,174.0
Myeloma,34000,2010,Black or African American,2054-5,85.0
Myeloma,34000,2010,White,2106-3,198.0
Myeloma,34000,2011,Asian or Pacific Islander,A-PI,16.0
Myeloma,34000,2011,Black or African American,2054-5,106.0
Myeloma,34000,2011,White,2106-3,192.0
Myeloma,34000,2012,Asian or Pacific Islander,A-PI,17.0
Myeloma,34000,2012,Black or African American,2054-5,76.0
Myeloma,34000,2012,White,2106-3,190.0
Myeloma,34000,2013,Black or African American,2054-5,91.0
Myeloma,34000,2013,White,2106-3,202.0
Myeloma,34000,2014,Black or African American,2054-5,91.0
Myeloma,34000,2014,White,2106-3,190.0
Myeloma,34000,2015,Black or African American,2054-5,112.0
Myeloma,34000,2015,White,2106-3,177.0
Myeloma,34000,2016,Asian or Pacific Islander,A-PI,17.0
Myeloma,34000,2016,Black or African American,2054-5,100.0
Myeloma,34000,2016,White,2106-3,185.0
Myeloma,34000,2016,Other Races and Unknown combined,2131-1,18.0
Myeloma,34000,2017,Black or African American,2054-5,119.0
Myeloma,34000,2017,White,2106-3,224.0
Myeloma,34000,2018,Asian or Pacific Islander,A-PI,19.0
Myeloma,34000,2018,Black or African American,2054-5,85.0
Myeloma,34000,2018,White,2106-3,204.0
Myeloma,34000,2019,Black or African American,2054-5,100.0
Myeloma,34000,2019,White,2106-3,207.0
Myeloma,34000,2020,Black or African American,2054-5,92.0
Myeloma,34000,2020,White,2106-3,198.0
Myeloma,34000,2021,Asian or Pacific Islander,A-PI,18.0
Myeloma,34000,2021,Black or African American,2054-5,107.0
Myeloma,34000,2021,White,2106-3,207.0
Non-Hodgkin Lymphoma,33041-33042,1999,American Indian or Alaska Native,1002-5,21.0
Non-Hodgkin Lymphoma,33041-33042,1999,Asian or Pacific Islander,A-PI,128.0
Non-Hodgkin Lymphoma,33041-33042,1999,Black or African American,2054-5,695.0
Non-Hodgkin Lymphoma,33041-33042,1999,White,2106-3,3043.0
Non-Hodgkin Lymphoma,33041-33042,1999,Other Races and Unknown combined,2131-1,44.0
Non-Hodgkin Lymphoma,33041-33042,2000,American Indian or Alaska Native,1002-5,29.0
Non-Hodgkin Lymphoma,33041-33042,2000,Asian or Pacific Islander,A-PI,132.0
Non-Hodgkin Lymphoma,33041-33042,2000,Black or African American,2054-5,673.0
Non-Hodgkin Lymphoma,33041-33042,2000,White,2106-3,3006.0
Non-Hodgkin Lymphoma,33041-33042,2000,Other Races and Unknown combined,2131-1,55.0
Non-Hodgkin Lymphoma,33041-33042,2001,American Indian or Alaska Native,1002-5,24.0
Non-Hodgkin Lymphoma,33041-33042,2001,Asian or Pacific Islander,A-PI,143.0
Non-Hodgkin Lymphoma,33041-33042,2001,Black or African American,2054-5,657.0
Non-Hodgkin Lymphoma,33041-33042,2001,White,2106-3,2949.0
Non-Hodgkin Lymphoma,33041-33042,2001,Other Races and Unknown combined,2131-1,37.0
Non-Hodgkin Lymphoma,33041-33042,2002,American Indian or Alaska Native,1002-5,20.0
Non-Hodgkin Lymphoma,33041-33042,2002,Asian or Pacific Islander,A-PI,116.0
Non-Hodgkin Lymphoma,33041-33042,2002,Black or African American,2054-5,643.0
Non-Hodgkin Lymphoma,33041-33042,2002,White,2106-3,2888.0
Non-Hodgkin Lymphoma,33041-33042,2002,Other Races and Unknown combined,2131-1,53.0
Non-Hodgkin Lymphoma,33041-33042,2003,American Indian or Alaska Native,1002-5,24.0
Non-Hodgkin Lymphoma,33041-33042,2003,Asian or Pacific Islander,A-PI,138.0
Non-Hodgkin Lymphoma,33041-33042,2003,Black or African American,2054-5,631.0
Non-Hodgkin Lymphoma,33041-33042,2003,White,2106-3,2813.0
Non-Hodgkin Lymphoma,33041-33042,2003,Other Races and Unknown combined,2131-1,64.0
Non-Hodgkin Lymphoma,33041-33042,2004,American Indian or Alaska Native,1002-5,20.0
Non-Hodgkin Lymphoma,33041-33042,2004,Asian or Pacific Islander,A-PI,148.0
Non-Hodgkin Lymphoma,33041-33042,2004,Black or African American,2054-5,660.0
Non-Hodgkin Lymphoma,33041-33042,2004,White,2106-3,2775.0
Non-Hodgkin Lymphoma,33041-33042,2004,Other Races and Unknown combined,2131-1,46.0
Non-Hodgkin Lymphoma,33041-33042,2005,American Indian or Alaska Native,1002-5,26.0
Non-Hodgkin Lymphoma,33041-33042,2005,Asian or Pacific Islander,A-PI,139.0
Non-Hodgkin Lymphoma,33041-33042,2005,Black or African American,2054-5,670.0
Non-Hodgkin Lymphoma,33041-33042,2005,White,2106-3,2804.0
Non-Hodgkin Lymphoma,33041-33042,2005,Other Races and Unknown combined,2131-1,54.0
Non-Hodgkin Lymphoma,33041-33042,2006,American Indian or Alaska Native,1002-5,31.0
Non-Hodgkin Lymphoma,33041-33042,2006,Asian or Pacific Islander,A-PI,134.0
Non-Hodgkin Lymphoma,33041-33042,2006,Black or African American,2054-5,642.0
Non-Hodgkin Lymphoma,33041-33042,2006,White,2106-3,2752.0
Non-Hodgkin Lymphoma,33041-33042,2006,Other Races and Unknown combined,2131-1,72.0
Non-Hodgkin Lymphoma,33041-33042,2007,American Indian or Alaska Native,1002-5,26.0
Non-Hodgkin Lymphoma,33041-33042,2007,Asian or Pacific Islander,A-PI,147.0
Non-Hodgkin Lymphoma,33041-33042,2007,Black or African American,2054-5,650.0
Non-Hodgkin Lymphoma,33041-33042,2007,White,2106-3,2731.0
Non-Hodgkin Lymphoma,33041-33042,2007,Other Races and Unknown combined,2131-1,74.0
Non-Hodgkin Lymphoma,33041-33042,2008,American Indian or Alaska Native,1002-5,20.0
Non-Hodgkin Lymphoma,33041-33042,2008,Asian or Pacific Islander,A-PI,190.0
Non-Hodgkin Lymphoma,33041-33042,2008,Black or African American,2054-5,620.0
Non-Hodgkin Lymphoma,33041-33042,2008,White,2106-3,2822.0
Non-Hodgkin Lymphoma,33041-33042,2008,Other Races and Unknown combined,2131-1,77.0
Non-Hodgkin Lymphoma,33041-33042,2009,American Indian or Alaska Native,1002-5,24.0
Non-Hodgkin Lymphoma,33041-33042,2009,Asian or Pacific Islander,A-PI,179.0
Non-Hodgkin Lymphoma,33041-33042,2009,Black or African American,2054-5,677.0
Non-Hodgkin Lymphoma,33041-33042,2009,White,2106-3,2789.0
Non-Hodgkin Lymphoma,33041-33042,2009,Other Races and Unknown combined,2131-1,80.0
Non-Hodgkin Lymphoma,33041-33042,2010,American Indian or Alaska Native,1002-5,36.0
Non-Hodgkin Lymphoma,33041-33042,2010,Asian or Pacific Islander,A-PI,178.0
Non-Hodgkin Lymphoma,33041-33042,2010,Black or African American,2054-5,621.0
Non-Hodgkin Lymphoma,33041-33042,2010,White,2106-3,2740.0
Non-Hodgkin Lymphoma,33041-33042,2010,Other Races and Unknown combined,2131-1,81.0
Non-Hodgkin Lymphoma,33041-33042,2011,American Indian or Alaska Native,1002-5,21.0
Non-Hodgkin Lymphoma,33041-33042,2011,Asian or Pacific Islander,A-PI,192.0
Non-Hodgkin Lymphoma,33041-33042,2011,Black or African American,2054-5,628.0
Non-Hodgkin Lymphoma,33041-33042,2011,White,2106-3,2667.0
Non-Hodgkin Lymphoma,33041-33042,2011,Other Races and Unknown combined,2131-1,75.0
Non-Hodgkin Lymphoma,33041-33042,2012,American Indian or Alaska Native,1002-5,23.0
Non-Hodgkin Lymphoma,33041-33042,2012,Asian or Pacific Islander,A-PI,210.0
Non-Hodgkin Lymphoma,33041-33042,2012,Black or African American,2054-5,628.0
Non-Hodgkin Lymphoma,33041-33042,2012,White,2106-3,2657.0
