Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Groups Code,Sex,Sex Code,Race,Race Code,Count
Melanoma of the Skin,25010,2003,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,63.0
Melanoma of the Skin,25010,2003,35-39 years,35-39,Male,M,White,2106-3,1002.0
Melanoma of the Skin,25010,2003,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,43.0
Melanoma of the Skin,25010,2004,20-24 years,20-24,Female,F,White,2106-3,598.0
Melanoma of the Skin,25010,2004,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,26.0
Melanoma of the Skin,25010,2004,20-24 years,20-24,Male,M,White,2106-3,255.0
Melanoma of the Skin,25010,2004,25-29 years,25-29,Female,F,White,2106-3,897.0
Melanoma of the Skin,25010,2004,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,43.0
Melanoma of the Skin,25010,2004,25-29 years,25-29,Male,M,White,2106-3,410.0
Melanoma of the Skin,25010,2004,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,31.0
Melanoma of the Skin,25010,2004,30-34 years,30-34,Female,F,White,2106-3,1134.0
Melanoma of the Skin,25010,2004,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,56.0
Melanoma of the Skin,25010,2004,30-34 years,30-34,Male,M,White,2106-3,774.0
Melanoma of the Skin,25010,2004,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,31.0
Melanoma of the Skin,25010,2004,35-39 years,35-39,Female,F,White,2106-3,1467.0
Melanoma of the Skin,25010,2004,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,69.0
Melanoma of the Skin,25010,2004,35-39 years,35-39,Male,M,White,2106-3,1078.0
Melanoma of the Skin,25010,2004,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,37.0
Melanoma of the Skin,25010,2005,20-24 years,20-24,Female,F,White,2106-3,656.0
Melanoma of the Skin,25010,2005,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,23.0
Melanoma of the Skin,25010,2005,20-24 years,20-24,Male,M,White,2106-3,252.0
Melanoma of the Skin,25010,2005,25-29 years,25-29,Female,F,White,2106-3,949.0
Melanoma of the Skin,25010,2005,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,42.0
Melanoma of the Skin,25010,2005,25-29 years,25-29,Male,M,White,2106-3,475.0
Melanoma of the Skin,25010,2005,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,20.0
Melanoma of the Skin,25010,2005,30-34 years,30-34,Female,F,White,2106-3,1272.0
Melanoma of the Skin,25010,2005,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,69.0
Melanoma of the Skin,25010,2005,30-34 years,30-34,Male,M,White,2106-3,735.0
Melanoma of the Skin,25010,2005,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,23.0
Melanoma of the Skin,25010,2005,35-39 years,35-39,Female,F,White,2106-3,1624.0
Melanoma of the Skin,25010,2005,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,63.0
Melanoma of the Skin,25010,2005,35-39 years,35-39,Male,M,White,2106-3,1108.0
Melanoma of the Skin,25010,2005,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,45.0
Melanoma of the Skin,25010,2006,20-24 years,20-24,Female,F,White,2106-3,632.0
Melanoma of the Skin,25010,2006,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,25.0
Melanoma of the Skin,25010,2006,20-24 years,20-24,Male,M,White,2106-3,244.0
Melanoma of the Skin,25010,2006,25-29 years,25-29,Female,F,White,2106-3,953.0
Melanoma of the Skin,25010,2006,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,46.0
Melanoma of the Skin,25010,2006,25-29 years,25-29,Male,M,White,2106-3,473.0
Melanoma of the Skin,25010,2006,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,24.0
Melanoma of the Skin,25010,2006,30-34 years,30-34,Female,F,White,2106-3,1205.0
Melanoma of the Skin,25010,2006,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,56.0
Melanoma of the Skin,25010,2006,30-34 years,30-34,Male,M,White,2106-3,651.0
Melanoma of the Skin,25010,2006,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,37.0
Melanoma of the Skin,25010,2006,35-39 years,35-39,Female,F,White,2106-3,1590.0
Melanoma of the Skin,25010,2006,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,64.0
Melanoma of the Skin,25010,2006,35-39 years,35-39,Male,M,White,2106-3,1010.0
Melanoma of the Skin,25010,2006,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,36.0
Melanoma of the Skin,25010,2007,20-24 years,20-24,Female,F,White,2106-3,624.0
Melanoma of the Skin,25010,2007,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,29.0
Melanoma of the Skin,25010,2007,20-24 years,20-24,Male,M,White,2106-3,289.0
Melanoma of the Skin,25010,2007,25-29 years,25-29,Female,F,White,2106-3,1017.0
Melanoma of the Skin,25010,2007,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,52.0
Melanoma of the Skin,25010,2007,25-29 years,25-29,Male,M,White,2106-3,451.0
Melanoma of the Skin,25010,2007,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,21.0
Melanoma of the Skin,25010,2007,30-34 years,30-34,Female,F,White,2106-3,1135.0
Melanoma of the Skin,25010,2007,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,64.0
Melanoma of the Skin,25010,2007,30-34 years,30-34,Male,M,White,2106-3,678.0
Melanoma of the Skin,25010,2007,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,36.0
Melanoma of the Skin,25010,2007,35-39 years,35-39,Female,F,White,2106-3,1536.0
Melanoma of the Skin,25010,2007,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,67.0
Melanoma of the Skin,25010,2007,35-39 years,35-39,Male,M,White,2106-3,1053.0
Melanoma of the Skin,25010,2007,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,43.0
Melanoma of the Skin,25010,2008,20-24 years,20-24,Female,F,White,2106-3,565.0
Melanoma of the Skin,25010,2008,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,32.0
Melanoma of the Skin,25010,2008,20-24 years,20-24,Male,M,White,2106-3,218.0
Melanoma of the Skin,25010,2008,25-29 years,25-29,Female,F,White,2106-3,926.0
Melanoma of the Skin,25010,2008,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,52.0
Melanoma of the Skin,25010,2008,25-29 years,25-29,Male,M,White,2106-3,409.0
Melanoma of the Skin,25010,2008,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,24.0
Melanoma of the Skin,25010,2008,30-34 years,30-34,Female,F,White,2106-3,1111.0
Melanoma of the Skin,25010,2008,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,53.0
Melanoma of the Skin,25010,2008,30-34 years,30-34,Male,M,White,2106-3,636.0
Melanoma of the Skin,25010,2008,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,34.0
Melanoma of the Skin,25010,2008,35-39 years,35-39,Female,F,White,2106-3,1561.0
Melanoma of the Skin,25010,2008,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,68.0
Melanoma of the Skin,25010,2008,35-39 years,35-39,Male,M,White,2106-3,1040.0
Melanoma of the Skin,25010,2008,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,49.0
Melanoma of the Skin,25010,2009,20-24 years,20-24,Female,F,White,2106-3,590.0
Melanoma of the Skin,25010,2009,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,37.0
Melanoma of the Skin,25010,2009,20-24 years,20-24,Male,M,White,2106-3,219.0
Melanoma of the Skin,25010,2009,25-29 years,25-29,Female,F,White,2106-3,1021.0
Melanoma of the Skin,25010,2009,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,52.0
Melanoma of the Skin,25010,2009,25-29 years,25-29,Male,M,White,2106-3,455.0
Melanoma of the Skin,25010,2009,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,18.0
Melanoma of the Skin,25010,2009,30-34 years,30-34,Female,F,White,2106-3,1192.0
Melanoma of the Skin,25010,2009,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,58.0
Melanoma of the Skin,25010,2009,30-34 years,30-34,Male,M,White,2106-3,666.0
Melanoma of the Skin,25010,2009,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,29.0
Melanoma of the Skin,25010,2009,35-39 years,35-39,Female,F,White,2106-3,1575.0
Melanoma of the Skin,25010,2009,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,55.0
Melanoma of the Skin,25010,2009,35-39 years,35-39,Male,M,White,2106-3,982.0
Melanoma of the Skin,25010,2009,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,37.0
Melanoma of the Skin,25010,2010,20-24 years,20-24,Female,F,White,2106-3,540.0
Melanoma of the Skin,25010,2010,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,21.0
Melanoma of the Skin,25010,2010,20-24 years,20-24,Male,M,White,2106-3,168.0
Melanoma of the Skin,25010,2010,25-29 years,25-29,Female,F,White,2106-3,887.0
Melanoma of the Skin,25010,2010,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,49.0
Melanoma of the Skin,25010,2010,25-29 years,25-29,Male,M,White,2106-3,416.0
Melanoma of the Skin,25010,2010,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,19.0
Melanoma of the Skin,25010,2010,30-34 years,30-34,Female,F,White,2106-3,1122.0
Melanoma of the Skin,25010,2010,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,40.0
Melanoma of the Skin,25010,2010,30-34 years,30-34,Male,M,White,2106-3,664.0
Melanoma of the Skin,25010,2010,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,36.0
Melanoma of the Skin,25010,2010,35-39 years,35-39,Female,F,White,2106-3,1480.0
Melanoma of the Skin,25010,2010,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,61.0
Melanoma of the Skin,25010,2010,35-39 years,35-39,Male,M,White,2106-3,976.0
Melanoma of the Skin,25010,2010,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,40.0
Melanoma of the Skin,25010,2011,20-24 years,20-24,Female,F,White,2106-3,530.0
Melanoma of the Skin,25010,2011,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,23.0
Melanoma of the Skin,25010,2011,20-24 years,20-24,Male,M,White,2106-3,200.0
Melanoma of the Skin,25010,2011,25-29 years,25-29,Female,F,White,2106-3,881.0
Melanoma of the Skin,25010,2011,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,49.0
Melanoma of the Skin,25010,2011,25-29 years,25-29,Male,M,White,2106-3,441.0
Melanoma of the Skin,25010,2011,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,22.0
Melanoma of the Skin,25010,2011,30-34 years,30-34,Female,F,White,2106-3,1143.0
Melanoma of the Skin,25010,2011,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,67.0
Melanoma of the Skin,25010,2011,30-34 years,30-34,Male,M,White,2106-3,672.0
Melanoma of the Skin,25010,2011,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,45.0
Melanoma of the Skin,25010,2011,35-39 years,35-39,Female,F,White,2106-3,1291.0
Melanoma of the Skin,25010,2011,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,78.0
Melanoma of the Skin,25010,2011,35-39 years,35-39,Male,M,White,2106-3,897.0
Melanoma of the Skin,25010,2011,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,42.0
Melanoma of the Skin,25010,2012,20-24 years,20-24,Female,F,White,2106-3,475.0
Melanoma of the Skin,25010,2012,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,23.0
Melanoma of the Skin,25010,2012,20-24 years,20-24,Male,M,White,2106-3,189.0
Melanoma of the Skin,25010,2012,20-24 years,20-24,Male,M,Other Races and Unknown combined,2131-1,16.0
Melanoma of the Skin,25010,2012,25-29 years,25-29,Female,F,White,2106-3,915.0
Melanoma of the Skin,25010,2012,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,46.0
Melanoma of the Skin,25010,2012,25-29 years,25-29,Male,M,White,2106-3,393.0
Melanoma of the Skin,25010,2012,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,23.0
Melanoma of the Skin,25010,2012,30-34 years,30-34,Female,F,White,2106-3,1243.0
Melanoma of the Skin,25010,2012,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,59.0
Melanoma of the Skin,25010,2012,30-34 years,30-34,Male,M,White,2106-3,653.0
Melanoma of the Skin,25010,2012,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,22.0
Melanoma of the Skin,25010,2012,35-39 years,35-39,Female,F,White,2106-3,1286.0
Melanoma of the Skin,25010,2012,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,68.0
Melanoma of the Skin,25010,2012,35-39 years,35-39,Male,M,White,2106-3,923.0
Melanoma of the Skin,25010,2012,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,41.0
Melanoma of the Skin,25010,2013,20-24 years,20-24,Female,F,White,2106-3,476.0
Melanoma of the Skin,25010,2013,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,27.0
Melanoma of the Skin,25010,2013,20-24 years,20-24,Male,M,White,2106-3,204.0
Melanoma of the Skin,25010,2013,25-29 years,25-29,Female,F,White,2106-3,840.0
Melanoma of the Skin,25010,2013,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,49.0
Melanoma of the Skin,25010,2013,25-29 years,25-29,Male,M,White,2106-3,400.0
Melanoma of the Skin,25010,2013,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,16.0
Melanoma of the Skin,25010,2013,30-34 years,30-34,Female,F,White,2106-3,1224.0
Melanoma of the Skin,25010,2013,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,61.0
Melanoma of the Skin,25010,2013,30-34 years,30-34,Male,M,White,2106-3,654.0
Melanoma of the Skin,25010,2013,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,27.0
Melanoma of the Skin,25010,2013,35-39 years,35-39,Female,F,White,2106-3,1370.0
Melanoma of the Skin,25010,2013,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,48.0
Melanoma of the Skin,25010,2013,35-39 years,35-39,Male,M,White,2106-3,861.0
Melanoma of the Skin,25010,2013,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,38.0
Melanoma of the Skin,25010,2014,20-24 years,20-24,Female,F,White,2106-3,434.0
Melanoma of the Skin,25010,2014,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,31.0
Melanoma of the Skin,25010,2014,20-24 years,20-24,Male,M,White,2106-3,209.0
Melanoma of the Skin,25010,2014,20-24 years,20-24,Male,M,Other Races and Unknown combined,2131-1,20.0
Melanoma of the Skin,25010,2014,25-29 years,25-29,Female,F,White,2106-3,880.0
Melanoma of the Skin,25010,2014,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,47.0
Melanoma of the Skin,25010,2014,25-29 years,25-29,Male,M,White,2106-3,382.0
Melanoma of the Skin,25010,2014,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,25.0
Melanoma of the Skin,25010,2014,30-34 years,30-34,Female,F,White,2106-3,1290.0
Melanoma of the Skin,25010,2014,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,71.0
Melanoma of the Skin,25010,2014,30-34 years,30-34,Male,M,White,2106-3,727.0
Melanoma of the Skin,25010,2014,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,30.0
Melanoma of the Skin,25010,2014,35-39 years,35-39,Female,F,White,2106-3,1381.0
Melanoma of the Skin,25010,2014,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,75.0
Melanoma of the Skin,25010,2014,35-39 years,35-39,Male,M,White,2106-3,888.0
Melanoma of the Skin,25010,2014,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,35.0
Melanoma of the Skin,25010,2015,20-24 years,20-24,Female,F,White,2106-3,446.0
Melanoma of the Skin,25010,2015,20-24 years,20-24,Male,M,White,2106-3,182.0
Melanoma of the Skin,25010,2015,25-29 years,25-29,Female,F,White,2106-3,850.0
Melanoma of the Skin,25010,2015,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,53.0
Melanoma of the Skin,25010,2015,25-29 years,25-29,Male,M,White,2106-3,379.0
Melanoma of the Skin,25010,2015,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,18.0
Melanoma of the Skin,25010,2015,30-34 years,30-34,Female,F,White,2106-3,1337.0
Melanoma of the Skin,25010,2015,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,81.0
Melanoma of the Skin,25010,2015,30-34 years,30-34,Male,M,White,2106-3,700.0
Melanoma of the Skin,25010,2015,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,39.0
Melanoma of the Skin,25010,2015,35-39 years,35-39,Female,F,White,2106-3,1564.0
Melanoma of the Skin,25010,2015,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,78.0
Melanoma of the Skin,25010,2015,35-39 years,35-39,Male,M,White,2106-3,957.0
Melanoma of the Skin,25010,2015,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,43.0
Melanoma of the Skin,25010,2016,20-24 years,20-24,Female,F,White,2106-3,398.0
Melanoma of the Skin,25010,2016,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,19.0
Melanoma of the Skin,25010,2016,20-24 years,20-24,Male,M,White,2106-3,192.0
Melanoma of the Skin,25010,2016,25-29 years,25-29,Female,F,White,2106-3,909.0
Melanoma of the Skin,25010,2016,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,48.0
Melanoma of the Skin,25010,2016,25-29 years,25-29,Male,M,White,2106-3,364.0
Melanoma of the Skin,25010,2016,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,27.0
Melanoma of the Skin,25010,2016,30-34 years,30-34,Female,F,White,2106-3,1317.0
Melanoma of the Skin,25010,2016,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,90.0
Melanoma of the Skin,25010,2016,30-34 years,30-34,Male,M,White,2106-3,716.0
Melanoma of the Skin,25010,2016,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,43.0
Melanoma of the Skin,25010,2016,35-39 years,35-39,Female,F,White,2106-3,1557.0
Melanoma of the Skin,25010,2016,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,105.0
Melanoma of the Skin,25010,2016,35-39 years,35-39,Male,M,White,2106-3,994.0
Melanoma of the Skin,25010,2016,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,55.0
Melanoma of the Skin,25010,2017,20-24 years,20-24,Female,F,White,2106-3,343.0
Melanoma of the Skin,25010,2017,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,31.0
Melanoma of the Skin,25010,2017,20-24 years,20-24,Male,M,White,2106-3,155.0
Melanoma of the Skin,25010,2017,25-29 years,25-29,Female,F,White,2106-3,865.0
Melanoma of the Skin,25010,2017,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,48.0
Melanoma of the Skin,25010,2017,25-29 years,25-29,Male,M,White,2106-3,332.0
Melanoma of the Skin,25010,2017,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,19.0
Melanoma of the Skin,25010,2017,30-34 years,30-34,Female,F,White,2106-3,1343.0
Melanoma of the Skin,25010,2017,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,63.0
Melanoma of the Skin,25010,2017,30-34 years,30-34,Male,M,White,2106-3,650.0
Melanoma of the Skin,25010,2017,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,35.0
Melanoma of the Skin,25010,2017,35-39 years,35-39,Female,F,White,2106-3,1563.0
Melanoma of the Skin,25010,2017,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,90.0
Melanoma of the Skin,25010,2017,35-39 years,35-39,Male,M,White,2106-3,1028.0
Melanoma of the Skin,25010,2017,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,67.0
Melanoma of the Skin,25010,2018,20-24 years,20-24,Female,F,White,2106-3,365.0
Melanoma of the Skin,25010,2018,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,16.0
Melanoma of the Skin,25010,2018,20-24 years,20-24,Male,M,White,2106-3,147.0
Melanoma of the Skin,25010,2018,25-29 years,25-29,Female,F,White,2106-3,727.0
Melanoma of the Skin,25010,2018,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,54.0
Melanoma of the Skin,25010,2018,25-29 years,25-29,Male,M,White,2106-3,338.0
Melanoma of the Skin,25010,2018,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,29.0
Melanoma of the Skin,25010,2018,30-34 years,30-34,Female,F,White,2106-3,1284.0
Melanoma of the Skin,25010,2018,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,83.0
Melanoma of the Skin,25010,2018,30-34 years,30-34,Male,M,White,2106-3,609.0
Melanoma of the Skin,25010,2018,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,38.0
Melanoma of the Skin,25010,2018,35-39 years,35-39,Female,F,White,2106-3,1617.0
Melanoma of the Skin,25010,2018,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,110.0
Melanoma of the Skin,25010,2018,35-39 years,35-39,Male,M,White,2106-3,958.0
Melanoma of the Skin,25010,2018,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,62.0
Melanoma of the Skin,25010,2019,20-24 years,20-24,Female,F,White,2106-3,311.0
Melanoma of the Skin,25010,2019,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,19.0
Melanoma of the Skin,25010,2019,20-24 years,20-24,Male,M,White,2106-3,148.0
Melanoma of the Skin,25010,2019,25-29 years,25-29,Female,F,White,2106-3,732.0
Melanoma of the Skin,25010,2019,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,46.0
Melanoma of the Skin,25010,2019,25-29 years,25-29,Male,M,White,2106-3,314.0
Melanoma of the Skin,25010,2019,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,28.0
Melanoma of the Skin,25010,2019,30-34 years,30-34,Female,F,White,2106-3,1316.0
Melanoma of the Skin,25010,2019,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,90.0
Melanoma of the Skin,25010,2019,30-34 years,30-34,Male,M,White,2106-3,688.0
Melanoma of the Skin,25010,2019,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,42.0
Melanoma of the Skin,25010,2019,35-39 years,35-39,Female,F,White,2106-3,1599.0
Melanoma of the Skin,25010,2019,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,117.0
Melanoma of the Skin,25010,2019,35-39 years,35-39,Male,M,White,2106-3,978.0
Melanoma of the Skin,25010,2019,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,64.0
Melanoma of the Skin,25010,2020,20-24 years,20-24,Female,F,White,2106-3,274.0
Melanoma of the Skin,25010,2020,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,31.0
Melanoma of the Skin,25010,2020,20-24 years,20-24,Male,M,White,2106-3,130.0
Melanoma of the Skin,25010,2020,25-29 years,25-29,Female,F,White,2106-3,597.0
Melanoma of the Skin,25010,2020,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,46.0
Melanoma of the Skin,25010,2020,25-29 years,25-29,Male,M,White,2106-3,248.0
Melanoma of the Skin,25010,2020,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,16.0
Melanoma of the Skin,25010,2020,30-34 years,30-34,Female,F,White,2106-3,1076.0
Melanoma of the Skin,25010,2020,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,79.0
Melanoma of the Skin,25010,2020,30-34 years,30-34,Male,M,White,2106-3,511.0
Melanoma of the Skin,25010,2020,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,32.0
Melanoma of the Skin,25010,2020,35-39 years,35-39,Female,F,White,2106-3,1374.0
Melanoma of the Skin,25010,2020,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,135.0
Melanoma of the Skin,25010,2020,35-39 years,35-39,Male,M,White,2106-3,822.0
Melanoma of the Skin,25010,2020,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,66.0
Melanoma of the Skin,25010,2021,20-24 years,20-24,Female,F,White,2106-3,299.0
Melanoma of the Skin,25010,2021,20-24 years,20-24,Female,F,Other Races and Unknown combined,2131-1,31.0
Melanoma of the Skin,25010,2021,20-24 years,20-24,Male,M,White,2106-3,142.0
Melanoma of the Skin,25010,2021,25-29 years,25-29,Female,F,White,2106-3,644.0
Melanoma of the Skin,25010,2021,25-29 years,25-29,Female,F,Other Races and Unknown combined,2131-1,59.0
Melanoma of the Skin,25010,2021,25-29 years,25-29,Male,M,White,2106-3,278.0
Melanoma of the Skin,25010,2021,25-29 years,25-29,Male,M,Other Races and Unknown combined,2131-1,22.0
Melanoma of the Skin,25010,2021,30-34 years,30-34,Female,F,White,2106-3,1147.0
Melanoma of the Skin,25010,2021,30-34 years,30-34,Female,F,Other Races and Unknown combined,2131-1,102.0
Melanoma of the Skin,25010,2021,30-34 years,30-34,Male,M,White,2106-3,537.0
Melanoma of the Skin,25010,2021,30-34 years,30-34,Male,M,Other Races and Unknown combined,2131-1,46.0
Melanoma of the Skin,25010,2021,35-39 years,35-39,Female,F,White,2106-3,1620.0
Melanoma of the Skin,25010,2021,35-39 years,35-39,Female,F,Other Races and Unknown combined,2131-1,139.0
Melanoma of the Skin,25010,2021,35-39 years,35-39,Male,M,White,2106-3,867.0
Melanoma of the Skin,25010,2021,35-39 years,35-39,Male,M,Other Races and Unknown combined,2131-1,74.0
Myeloma,34000,1999,30-34 years,30-34,Male,M,White,2106-3,22.0
Myeloma,34000,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,20.0
Myeloma,34000,1999,35-39 years,35-39,Female,F,White,2106-3,36.0
Myeloma,34000,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Myeloma,34000,1999,35-39 years,35-39,Male,M,White,2106-3,78.0
Myeloma,34000,2000,30-34 years,30-34,Male,M,White,2106-3,29.0
Myeloma,34000,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,28.0
Myeloma,34000,2000,35-39 years,35-39,Female,F,White,2106-3,41.0
Myeloma,34000,2000,35-39 years,35-39,Male,M,Black or African American,2054-5,24.0
Myeloma,34000,2000,35-39 years,35-39,Male,M,White,2106-3,78.0
Myeloma,34000,2001,30-34 years,30-34,Male,M,White,2106-3,37.0
Myeloma,34000,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,20.0
Myeloma,34000,2001,35-39 years,35-39,Female,F,White,2106-3,49.0
Myeloma,34000,2001,35-39 years,35-39,Male,M,Black or African American,2054-5,32.0
Myeloma,34000,2001,35-39 years,35-39,Male,M,White,2106-3,69.0
Myeloma,34000,2002,30-34 years,30-34,Male,M,White,2106-3,27.0
Myeloma,34000,2002,35-39 years,35-39,Female,F,White,2106-3,40.0
Myeloma,34000,2002,35-39 years,35-39,Male,M,Black or African American,2054-5,33.0
Myeloma,34000,2002,35-39 years,35-39,Male,M,White,2106-3,71.0
Myeloma,34000,2003,30-34 years,30-34,Male,M,White,2106-3,37.0
